parameters	value
spatial_pattern_21_gene_prop	NULL
spatial_pattern_21_mean	-1.2377671932463
spatial_pattern_21_sd	0
spatial_pattern_22_region	1
spatial_pattern_22_cell_type	Astrocyte
spatial_pattern_22_gene_id	Prkcg
spatial_pattern_22_gene_prop	NULL
spatial_pattern_22_mean	-1.30086734735618
spatial_pattern_22_sd	0
spatial_pattern_23_region	1
spatial_pattern_23_cell_type	Astrocyte
spatial_pattern_23_gene_id	Ttyh2
spatial_pattern_23_gene_prop	NULL
spatial_pattern_23_mean	-1.41260499173966
spatial_pattern_23_sd	0
spatial_pattern_24_region	3
spatial_pattern_24_cell_type	Astrocyte
spatial_pattern_24_gene_id	Gps1
spatial_pattern_24_gene_prop	NULL
spatial_pattern_24_mean	-1.83425763636497
spatial_pattern_24_sd	0
spatial_pattern_25_region	3
spatial_pattern_25_cell_type	Astrocyte
spatial_pattern_25_gene_id	Hr
spatial_pattern_25_gene_prop	NULL
spatial_pattern_25_mean	-1.71463166969966
spatial_pattern_25_sd	0
spatial_pattern_26_region	4
spatial_pattern_26_cell_type	Astrocyte
spatial_pattern_26_gene_id	Tbc1d9b
spatial_pattern_26_gene_prop	NULL
spatial_pattern_26_mean	1.72377854318817
spatial_pattern_26_sd	0
spatial_pattern_27_region	4
spatial_pattern_27_cell_type	Astrocyte
spatial_pattern_27_gene_id	St3gal2
spatial_pattern_27_gene_prop	NULL
spatial_pattern_27_mean	-1.32548668381424
spatial_pattern_27_sd	0
spatial_pattern_28_region	0
spatial_pattern_28_cell_type	Endothelial
spatial_pattern_28_gene_id	Dctn1
spatial_pattern_28_gene_prop	NULL
spatial_pattern_28_mean	2.59448666626059
spatial_pattern_28_sd	0
spatial_pattern_29_region	0
spatial_pattern_29_cell_type	Endothelial
spatial_pattern_29_gene_id	Acsbg1
spatial_pattern_29_gene_prop	NULL
spatial_pattern_29_mean	-2.19807315306843
spatial_pattern_29_sd	0
spatial_pattern_30_region	1
spatial_pattern_30_cell_type	Endothelial
spatial_pattern_30_gene_id	Ncald
spatial_pattern_30_gene_prop	NULL
spatial_pattern_30_mean	-1.7507826037968
spatial_pattern_30_sd	0
spatial_pattern_31_region	1
spatial_pattern_31_cell_type	Endothelial
spatial_pattern_31_gene_id	Map4k4
spatial_pattern_31_gene_prop	NULL
spatial_pattern_31_mean	-1.70310925913397
spatial_pattern_31_sd	0
spatial_pattern_32_region	2
spatial_pattern_32_cell_type	Endothelial
spatial_pattern_32_gene_id	Syt16
spatial_pattern_32_gene_prop	NULL
spatial_pattern_32_mean	-1.39079916506286
spatial_pattern_32_sd	0
spatial_pattern_33_region	2
spatial_pattern_33_cell_type	Endothelial
spatial_pattern_33_gene_id	Smg5
spatial_pattern_33_gene_prop	NULL
spatial_pattern_33_mean	-1.117198780411
spatial_pattern_33_sd	0
spatial_pattern_34_region	4
spatial_pattern_34_cell_type	Endothelial
spatial_pattern_34_gene_id	Plcg1
spatial_pattern_34_gene_prop	NULL
spatial_pattern_34_mean	-1.77218814794131
spatial_pattern_34_sd	0
spatial_pattern_35_region	4
spatial_pattern_35_cell_type	Endothelial
spatial_pattern_35_gene_id	Wbp2
spatial_pattern_35_gene_prop	NULL
spatial_pattern_35_mean	1.73181616035851
spatial_pattern_35_sd	0
spatial_pattern_36_region	0
spatial_pattern_36_cell_type	Oligodendrocyte
spatial_pattern_36_gene_id	Rbm15
spatial_pattern_36_gene_prop	NULL
spatial_pattern_36_mean	2.05458142642643
spatial_pattern_36_sd	0
spatial_pattern_37_region	0
spatial_pattern_37_cell_type	Oligodendrocyte
spatial_pattern_37_gene_id	Stx12
spatial_pattern_37_gene_prop	NULL
spatial_pattern_37_mean	2.15749087170009
spatial_pattern_37_sd	0
spatial_pattern_38_region	1
spatial_pattern_38_cell_type	Oligodendrocyte
spatial_pattern_38_gene_id	Rabgef1
spatial_pattern_38_gene_prop	NULL
spatial_pattern_38_mean	2.73085551882168
spatial_pattern_38_sd	0
spatial_pattern_39_region	1
spatial_pattern_39_cell_type	Oligodendrocyte
spatial_pattern_39_gene_id	Cacna1c
spatial_pattern_39_gene_prop	NULL
spatial_pattern_39_mean	2.53370473469758
spatial_pattern_39_sd	0
spatial_pattern_40_region	2
spatial_pattern_40_cell_type	Oligodendrocyte
spatial_pattern_40_gene_id	Spop
spatial_pattern_40_gene_prop	NULL
spatial_pattern_40_mean	-1.69940184806182
spatial_pattern_40_sd	0
spatial_pattern_41_region	2
spatial_pattern_41_cell_type	Oligodendrocyte
spatial_pattern_41_gene_id	Stip1
spatial_pattern_41_gene_prop	NULL
spatial_pattern_41_mean	-1.90948970124021
spatial_pattern_41_sd	0
spatial_pattern_42_region	3
spatial_pattern_42_cell_type	Oligodendrocyte
spatial_pattern_42_gene_id	Mog
spatial_pattern_42_gene_prop	NULL
spatial_pattern_42_mean	2.73882292608996
spatial_pattern_42_sd	0
spatial_pattern_43_region	3
spatial_pattern_43_cell_type	Oligodendrocyte
spatial_pattern_43_gene_id	Vps13d
spatial_pattern_43_gene_prop	NULL
spatial_pattern_43_mean	-1.53902935890948
spatial_pattern_43_sd	0
num_spots	NULL
num_simulated_datasets	1
parent_simulation_seed	1234
path_to_output_dir	/Users/songxiaoyu152/NUS Dropbox/Xiaoyu Song/SpatialTranscriptomics/Paper_sCCIgen/R1_outputs
output_name	SeqFishPlus_RegionDiffGenes
parameter_file	SeqFishPlus_RegionDiffGenes.tsv
