Cell	annotation	x.loc	y.loc
Cell58	CellType2	0.4665	0.8288
Cell59	CellType1	0.4829	0.103
Cell60	CellType1	0.1881	0.3485
Cell61	CellType1	0.9831	0.529
Cell62	CellType1	0.6958	0.6728
Cell63	CellType2	0.2849	0.3332
Cell64	CellType2	0.361	0.0347
Cell65	CellType2	0.9183	0.9152
Cell66	CellType1	0.4701	0.7047
Cell67	CellType1	0.321	0.9179
Cell68	CellType2	0.7338	0.6466
Cell69	CellType1	0.0736	0.6693
Cell70	CellType1	0.1423	0.7643
Cell71	CellType1	0.3877	0.6228
Cell72	CellType2	0.3893	0.5132
Cell73	CellType1	0.7813	0.4655
Cell74	CellType2	0.847	0.1637
Cell75	CellType2	0.7269	0.2754
Cell76	CellType2	0.46	0.2942
Cell77	CellType1	0.815	0.4222
Cell78	CellType1	0.1607	0.4253
Cell79	CellType2	0.0145	0.6584
Cell80	CellType2	0.1926	0.1068
Cell81	CellType1	0.6365	0.9632
Cell82	CellType2	0.2963	0.6082
Cell83	CellType1	0.2264	0.6139
Cell84	CellType2	0.2738	0.9233
Cell85	CellType2	0.3316	0.9446
Cell86	CellType1	0.043	0.5387
Cell87	CellType1	0.5717	0.0305
Cell88	CellType2	0.9807	0.8894
Cell89	CellType1	0.081	0.1421
Cell90	CellType1	0.1386	0.8747
Cell91	CellType2	0.8733	0.3324
Cell92	CellType1	0.5704	0.488
Cell93	CellType1	0.6354	0.5002
Cell94	CellType1	0.2458	0.0731
Cell95	CellType2	0.9268	0.4857
Cell96	CellType1	0.2926	0.339
Cell97	CellType1	0.7244	0.5309
Cell98	CellType1	0.8324	0.256
Cell99	CellType1	0.8925	0.7716
Cell100	CellType2	0.1257	0.4225
Cell101	CellType1	0.8596	0.7188
Cell102	CellType1	0.913	0.9695
Cell103	CellType1	0.8012	0.1173
Cell104	CellType2	0.5469	0.8206
Cell105	CellType1	0.2196	0.6143
Cell106	CellType1	0.8501	0.1233
Cell107	CellType2	0.9914	0.2079
Cell108	CellType1	0.9369	0.6155
Cell109	CellType1	0.194	0.9037
Cell110	CellType1	0.0916	0.6054
Cell111	CellType1	0.5843	0.7115
Cell112	CellType2	0.5749	0.7149
Cell113	CellType1	0.4382	0.7616
Cell114	CellType1	0.7204	0.0341
Cell115	CellType1	0.3957	0.5941
Cell116	CellType1	0.6004	0.4742
Cell117	CellType1	0.4103	0.3026
Cell118	CellType1	0.3989	0.8199
Cell119	CellType2	0.8032	0.0486
Cell120	CellType1	0.7436	0.8252
Cell121	CellType2	0.9202	0.9151
Cell122	CellType1	0.5565	0.8402
Cell123	CellType1	0.2021	0.5088
Cell124	CellType1	0.0887	0.961
Cell125	CellType2	0.6762	0.2805
Cell126	CellType1	0.9352	0.6314
Cell127	CellType1	0.0402	0.6389
Cell128	CellType2	0.9534	0.3066
Cell129	CellType1	0.1771	0.435
Cell130	CellType2	0.7624	0.8996
Cell131	CellType1	0.5005	0.943
Cell132	CellType1	0.4988	0.6968
Cell133	CellType1	0.9903	0.6642
Cell134	CellType1	0.0249	0.36
Cell135	CellType2	0.9071	0.6938
Cell136	CellType1	0.5566	0.6331
Cell137	CellType1	0.3713	0.1413
Cell138	CellType2	0.2549	0.454
Cell139	CellType1	0.385	0.4646
Cell140	CellType1	0.4747	0.7076
Cell141	CellType1	0.4465	0.3374
Cell142	CellType1	0.8275	0.8904
Cell143	CellType1	0.7659	0.2394
Cell144	CellType1	0.8509	0.429
Cell145	CellType2	0.0344	0.955
Cell146	CellType1	0.5708	0.115
Cell147	CellType2	0.0913	0.9765
Cell148	CellType2	0.658	0.5139
Cell149	CellType1	0.0822	0.1902
Cell150	CellType1	0.0938	0.0329
Cell151	CellType1	0.747	0.9126
Cell152	CellType2	0.667	0.5584
Cell153	CellType1	0.76	0.3363
Cell154	CellType2	0.5666	0.7941
Cell155	CellType1	0.3084	0.9843
Cell156	CellType1	0.1221	0.4147
Cell157	CellType2	0.7117	0.7265
Cell158	CellType1	0.4367	0.0286
Cell159	CellType1	0.5672	0.7085
Cell160	CellType1	0.46	0.7048
Cell161	CellType2	0.4092	0.8909
Cell162	CellType1	0.437	0.8668
Cell163	CellType1	0.368	0.2599
Cell164	CellType1	0.0825	0.8983
Cell165	CellType1	0.2004	0.9494
Cell166	CellType1	0.6381	0.1776
Cell167	CellType1	0.4722	0.4809
Cell168	CellType2	0.0423	0.4272
Cell169	CellType2	0.0199	0.0648
Cell170	CellType1	0.755	0.0986
Cell171	CellType1	0.5835	0.8233
Cell172	CellType1	0.3284	0.8196
Cell173	CellType1	0.452	0.2976
Cell174	CellType1	0.0082	0.3235
Cell175	CellType2	0.9743	0.1615
Cell176	CellType1	0.3008	0.6081
Cell177	CellType2	0.9444	0.6034
Cell178	CellType1	0.5049	0.6294
Cell179	CellType1	0.4367	0.3378
Cell180	CellType2	0.2682	0.6262
Cell181	CellType1	0.6896	0.2776
Cell182	CellType1	0.2672	0.3212
Cell183	CellType2	0.5184	0.1052
Cell184	CellType1	0.9315	0.3652
Cell185	CellType2	0.2281	0.4625
Cell186	CellType1	0.3178	0.9992
Cell187	CellType1	0.6839	0.5374
Cell188	CellType1	0.6824	0.5578
Cell189	CellType2	0.3253	0.5011
Cell190	CellType1	0.9019	0.3249
Cell191	CellType1	0.7201	0.7959
Cell192	CellType2	0.8443	0.6089
Cell193	CellType1	0.3729	0.6982
Cell194	CellType2	0.2097	0.8654
Cell195	CellType1	0.61240000000000006	0.7165
Cell196	CellType2	0.6574	0.617
Cell197	CellType1	0.4488	0.2149
Cell198	CellType1	0.1647	0.7785
Cell199	CellType1	0.8091	0.6388
Cell200	CellType1	0.1259	0.7846
Cell201	CellType1	0.6662	0.3592
Cell202	CellType2	0.1091	0.6317
Cell203	CellType1	0.3537	0.617
Cell204	CellType2	0.8833	0.8214
Cell205	CellType2	0.509	0.0446
Cell206	CellType2	0.1442	0.0793
Cell207	CellType1	0.5932	0.3252
Cell208	CellType1	0.9855	0.0099
Cell209	CellType1	0.3198	0.6637
Cell210	CellType2	0.3543	0.1475
Cell211	CellType1	0.3606	0.0993
Cell212	CellType1	0.5751	0.0616
Cell213	CellType1	0.5137	0.6033
Cell214	CellType1	0.0657	0.1054
Cell215	CellType1	0.3069	0.0499
Cell216	CellType2	0.4912	0.5835
Cell217	CellType1	0.1085	0.4908
Cell218	CellType1	0.501	0.2285
Cell219	CellType1	0.4456	0.3211
Cell220	CellType1	0.8846	0.5782
Cell221	CellType1	0.5891	0.4
Cell222	CellType1	0.2887	0.4419
Cell223	CellType2	0.8635	0.3295
Cell224	CellType1	0.3713	0.7597
Cell225	CellType2	0.0805	0.2138
Cell226	CellType1	0.5138	0.7085
Cell227	CellType2	0.0661	0.671
Cell228	CellType1	0.0401	0.3956
Cell229	CellType1	0.6558	0.1731
Cell230	CellType1	0.8404	0.2357
Cell231	CellType2	0.9247	0.7584
Cell232	CellType1	0.9675	0.114
Cell233	CellType1	0.9762	0.6666
Cell234	CellType1	0.3877	0.3484
Cell235	CellType1	0.8753	0.6638
Cell236	CellType1	0.7362	0.273
Cell237	CellType2	0.9846	0.9748
Cell238	CellType1	0.418	0.5029
Cell239	CellType1	0.1603	0.6772
Cell240	CellType1	0.6651	0.7204
Cell241	CellType2	0.2466	0.3804
Cell242	CellType1	0.4489	0.6938
Cell243	CellType1	0.1178	0.4297
Cell244	CellType2	0.0862	0.0932
Cell245	CellType1	0.5824	0.8491
Cell246	CellType2	0.6364	0.6916
Cell247	CellType1	0.6672	0.2723
Cell248	CellType1	0.7954	0.1558
Cell249	CellType1	0.904	0.9134
Cell250	CellType1	0.428	0.2719
Cell251	CellType2	0.9269	0.5778
Cell252	CellType1	0.1727	0.7402
Cell253	CellType1	0.2205	4e-4
Cell254	CellType1	0.588	0.0745
Cell255	CellType1	0.5376	0.8786
Cell256	CellType1	0.0301	0.494
Cell257	CellType2	0.1586	0.8386
Cell258	CellType2	0.4264	0.0059
Cell259	CellType2	0.3955	0.0908
Cell260	CellType2	0.8546	0.7238
Cell261	CellType1	0.0061	0.4552
Cell262	CellType1	0.3473	0.3181
Cell263	CellType1	0.7692	0.6004
Cell264	CellType2	0.9903	0.4506
Cell265	CellType1	0.6157	0.3277
Cell266	CellType1	0.3591	0.4259
Cell267	CellType2	0.2508	0.5436
Cell268	CellType1	0.4049	0.8592
Cell269	CellType1	0.7431	0.8898
Cell270	CellType2	0.4647	0.727
Cell271	CellType1	0.9591	0.8832
Cell272	CellType1	0.3578	0.0923
Cell273	CellType1	0.0122	0.8393
Cell274	CellType1	0.9491	0.6979
Cell275	CellType1	0.2384	0.372
Cell276	CellType2	0.0228	0.4019
Cell277	CellType1	0.7148	0.8282
Cell278	CellType1	0.2622	0.7639
Cell279	CellType1	0.3395	0.6823
Cell280	CellType1	0.5576	0.1266
Cell281	CellType2	0.5594	0.08
Cell282	CellType2	0.3394	0.9677
Cell283	CellType1	0.1849	0.5086
Cell284	CellType1	0.8492	0.8095
Cell285	CellType1	0.4458	0.4654
Cell286	CellType2	0.7262	0.9296
Cell287	CellType1	0.9318	0.7331
Cell288	CellType2	0.2808	0.4678
Cell289	CellType1	0.1896	0.0515
Cell290	CellType1	0.8805	0.1483
Cell291	CellType1	0.604	0.4722
Cell292	CellType1	0.367	0.0326
Cell293	CellType1	0.0058	0.4903
Cell294	CellType2	0.2449	0.8762
Cell295	CellType1	0.8754	0.2585
Cell296	CellType1	0.9619	0.0187
Cell297	CellType1	0.2223	0.8852
Cell298	CellType1	0.188	0.3871
Cell299	CellType2	0.2734	0.5505
Cell300	CellType2	0.8655	0.3996
Cell301	CellType2	0.7889	0.658
Cell302	CellType2	0.5688	0.4157
Cell303	CellType2	0.2044	0.893
Cell304	CellType2	0.6329	0.1116
Cell305	CellType1	0.5152	0.4534
Cell306	CellType1	0.2126	0.0355
Cell307	CellType1	0.3568	0.8192
Cell308	CellType1	0.43	0.3216
Cell309	CellType1	0.1824	0.5908
Cell310	CellType1	0.7835	0.7422
Cell311	CellType2	0.9772	0.6999
Cell312	CellType2	0.83	0.9361
Cell313	CellType1	0.7648	0.3621
Cell314	CellType1	0.2903	0.2874
Cell315	CellType2	0.1316	0.4435
Cell316	CellType1	0.9169	0.4269
Cell317	CellType1	0.0178	0.0506
Cell318	CellType1	0.4261	0.2871
Cell319	CellType1	0.6657	0.5758
Cell320	CellType1	0.4431	0.7443
Cell321	CellType1	0.7877	0.6928
Cell322	CellType2	0.1829	0.3072
Cell323	CellType2	0.3723	0.4589
Cell324	CellType1	0.536	0.9493
Cell325	CellType1	0.7372	0.1844
Cell326	CellType1	0.8927	0.2193
Cell327	CellType1	0.3167	0.7826
Cell328	CellType1	0.8632	0.9881
Cell329	CellType1	0.2253	0.6696
Cell330	CellType2	0.9155	0.5568
Cell331	CellType1	0.1188	0.3983
Cell332	CellType1	0.3506	0.3148
Cell333	CellType1	0.9263	0.0571
Cell334	CellType1	0.657	0.3253
Cell335	CellType1	0.2278	0.221
Cell336	CellType1	0.5326	0.9016
Cell337	CellType1	0.4444	0.9235
Cell338	CellType2	0.7089	0.8125
Cell339	CellType1	0.4141	0.1608
Cell340	CellType1	0.8037	0.6442
Cell341	CellType2	0.9487	0.6942
Cell342	CellType2	0.4173	0.4998
Cell343	CellType1	0.024	0.4141
Cell344	CellType2	0.9562	0.0663
Cell345	CellType1	0.5904	0.4202
Cell346	CellType2	0.8524	0.8792
Cell347	CellType1	0.2064	0.4682
Cell348	CellType1	0.9199	0.0672
Cell349	CellType1	0.3052	0.0876
Cell350	CellType1	0.2659	0.3367
Cell351	CellType1	0.1735	0.6092
Cell352	CellType1	0.0986	0.4322
Cell353	CellType1	0.6825	0.9604
Cell354	CellType1	0.6421	0.1896
Cell355	CellType2	0.3397	0.3364
Cell356	CellType2	0.5983	0.02
Cell357	CellType1	0.5721	0.6785
Cell358	CellType1	0.498	0.0241
Cell359	CellType2	0.4637	0.2872
Cell360	CellType1	0.3204	0.7377
Cell361	CellType2	0.8476	0.5257
Cell362	CellType1	0.0595	0.6491
Cell363	CellType2	0.4156	0.4933
Cell364	CellType1	0.7664	0.5004
Cell365	CellType2	0.6985	0.1725
Cell366	CellType1	0.1422	0.2606
Cell367	CellType1	0.5358	0.8129
Cell368	CellType1	0.9155	0.8503
Cell369	CellType1	0.7704	0.6264
Cell370	CellType1	0.7616	0.1869
Cell371	CellType2	0.6159	0.609
Cell372	CellType1	0.073	0.3395
Cell373	CellType1	0.4014	0.0682
Cell374	CellType1	0.7397	0.367
Cell375	CellType1	0.4816	0.5385
Cell376	CellType1	0.4916	0.7038
Cell377	CellType1	0.3592	0.7437
Cell378	CellType1	0.059	0.3602
Cell379	CellType2	0.012	0.6309
Cell380	CellType2	0.6727	0.8742
Cell381	CellType2	0.8754	0.6903
Cell382	CellType1	0.4944	0.0607
Cell383	CellType1	0.8831	0.3341
Cell384	CellType1	0.209	0.367
Cell385	CellType1	0.5036	0.8994
Cell386	CellType2	0.4868	0.143
Cell387	CellType1	0.7516	0.403
Cell388	CellType1	0.84	0.471
Cell389	CellType1	0.7993	0.6501
Cell390	CellType1	0.4767	0.6809
Cell391	CellType1	0.5141	0.5864
Cell392	CellType1	0.1154	0.7776
Cell393	CellType1	0.9576	0.9003
Cell394	CellType2	0.2718	0.5196
Cell395	CellType2	0.6122	0.8984
Cell396	CellType1	0.3661	0.4504
Cell397	CellType1	0.4943	0.2795
Cell398	CellType1	0.2376	0.0928
Cell399	CellType2	0.4292	0.667
Cell400	CellType1	0.136	0.2866
Cell401	CellType1	0.6187	0.5523
Cell402	CellType1	0.6258	0.1879
Cell403	CellType2	0.5455	0.1557
Cell404	CellType1	0.192	0.5717
Cell405	CellType1	0.4545	0.7849
Cell406	CellType1	0.646	0.1162
Cell407	CellType2	0.328	0.7531
Cell408	CellType2	0.4741	0.1429
Cell409	CellType1	0.1694	0.6837
Cell410	CellType2	0.5174	0.822
Cell411	CellType1	0.1219	0.8026
Cell412	CellType1	0.3959	0.5263
Cell413	CellType1	0.346	0.0152
Cell414	CellType1	0.4366	0.34
Cell415	CellType1	0.4674	0.7039
Cell416	CellType1	0.4969	0.5008
Cell417	CellType1	0.4156	0.5954
Cell418	CellType1	0.9568	0.2523
Cell419	CellType1	0.7361	0.3193
Cell420	CellType1	0.8361	0.8463
Cell421	CellType1	0.7898	0.4985
Cell422	CellType1	0.7169	0.4908
Cell423	CellType1	0.0702	0.2846
Cell424	CellType1	0.686	0.1786
Cell425	CellType1	0.8454	0.259
Cell426	CellType1	0.9424	0.2915
Cell427	CellType2	0.5591	0.4627
Cell428	CellType1	0.5107	0.6973
Cell429	CellType1	0.3015	0.0839
Cell430	CellType1	0.4481	0.7954
Cell431	CellType2	0.7051	0.4385
Cell432	CellType2	0.0352	0.7161
Cell433	CellType1	0.8334	0.5491
Cell434	CellType2	0.2267	0.6267
Cell435	CellType1	0.2339	0.5254
Cell436	CellType1	0.3661	0.817
Cell437	CellType1	0.5184	0.0935
Cell438	CellType1	0.0135	0.8984
Cell439	CellType2	0.2805	0.5942
Cell440	CellType1	0.2686	0.8006
Cell441	CellType1	0.3723	0.31
Cell442	CellType1	0.1821	0.6352
Cell443	CellType2	0.3368	0.7329
Cell444	CellType1	0.1572	0.972
Cell445	CellType1	0.6231	0.265
Cell446	CellType2	0.3855	0.7512
Cell447	CellType1	0.0654	0.9688
Cell448	CellType1	0.374	0.2715
Cell449	CellType2	0.431	0.2706
Cell450	CellType2	0.1182	0.1995
Cell451	CellType1	0.0922	0.1405
Cell452	CellType2	0.1994	0.8194
Cell453	CellType1	0.2616	0.94
Cell454	CellType1	0.76	0.2728
Cell455	CellType2	0.679	0.4938
Cell456	CellType2	0.9287	0.5719
Cell457	CellType1	0.1933	0.4327
Cell458	CellType1	0.7304	0.853
Cell459	CellType1	0.7904	0.9603
Cell460	CellType1	0.9107	0.4856
Cell461	CellType1	0.7857	0.3182
Cell462	CellType1	0.8523	0.4958
Cell463	CellType1	0.2129	0.5738
Cell464	CellType1	0.9087	0.6322
Cell465	CellType1	0.1623	0.5683
Cell466	CellType1	0.8792	0.619
Cell467	CellType2	0.7381	0.1445
Cell468	CellType1	0.7262	0.3853
Cell469	CellType1	0.8941	0.6052
Cell470	CellType1	0.5299	0.701
Cell471	CellType2	0.8003	0.6127
Cell472	CellType1	0.0758	0.4641
Cell473	CellType1	0.9925	0.0548
Cell474	CellType1	0.5449	0.0024
Cell475	CellType1	0.6229	0.6592
Cell476	CellType1	0.9938	0.5322
Cell477	CellType2	0.6177	0.0234
Cell478	CellType2	0.2381	0.6897
Cell479	CellType1	0.5968	0.7164
Cell480	CellType1	0.5616	0.728
Cell481	CellType2	0.6956	0.3622
Cell482	CellType1	0.741	0.3336
Cell483	CellType1	0.0121	0.6555
Cell484	CellType1	0.0437	0.0321
Cell485	CellType1	0.0852	0.1883
Cell486	CellType1	0.7148	0.9128
Cell487	CellType2	0.3565	0.1272
Cell488	CellType2	0.0316	0.6272
Cell489	CellType1	0.5065	0.5575
Cell490	CellType1	0.9411	0.8146
Cell491	CellType1	0.3851	0.0531
Cell492	CellType1	0.4848	0.9916
Cell493	CellType1	0.0807	0.9486
Cell494	CellType1	0.9139	0.8314
Cell495	CellType1	0.7309	0.4105
Cell496	CellType1	0.3533	0.979
Cell497	CellType1	0.4674	0.9268
Cell498	CellType2	0.9413	0.8319
Cell499	CellType2	0.1374	0.9254
Cell500	CellType1	0.8103	0.9163
Cell501	CellType2	0.7454	0.3842
Cell502	CellType2	0.984	0.1471
Cell503	CellType1	0.5923	0.1297
Cell504	CellType2	0.0379	0.1482
Cell505	CellType1	0.3746	0.526
Cell506	CellType1	0.8356	0.2274
Cell507	CellType1	0.4412	0.2149
Cell508	CellType1	0.8454	0.0385
Cell509	CellType2	0.0639	0.6572
Cell510	CellType2	0.2908	0.3185
Cell511	CellType1	0.8078	0.308
Cell512	CellType1	0.0664	0.4097
Cell513	CellType1	0.1673	0.3322
Cell514	CellType1	0.5049	0.1475
Cell515	CellType2	0.7163	0.5815
Cell516	CellType2	0.1859	0.4204
Cell517	CellType2	0.915	0.0862
Cell518	CellType1	0.3039	0.6961
Cell519	CellType2	0.1909	0.1466
Cell520	CellType1	0.39	0.1138
Cell521	CellType1	0.1869	0.771
Cell522	CellType1	0.2293	0.1761
Cell523	CellType1	0.4845	0.3381
Cell524	CellType1	0.5481	0.4149
Cell525	CellType1	0.3084	0.161
Cell526	CellType2	0.1355	0.3627
Cell527	CellType2	0.4588	0.2276
Cell528	CellType1	0.0229	0.6106
Cell529	CellType2	0.1576	0.8453
Cell530	CellType1	0.9723	0.8625
Cell531	CellType1	0.5667	0.0801
Cell532	CellType1	0.4873	0.5203
Cell533	CellType1	0.4159	0.6181
Cell534	CellType1	0.3992	0.4647
Cell535	CellType1	0.3271	0.7847
Cell536	CellType1	0.4022	0.259
Cell537	CellType1	0.3844	0.0158
Cell538	CellType1	0.2751	0.184
Cell539	CellType1	0.6744	0.2219
Cell540	CellType1	0.9147	0.5883
Cell541	CellType1	0.7382	0.0526
Cell542	CellType1	0.3844	0.195
Cell543	CellType1	0.1032	0.7746
Cell544	CellType1	0.4763	0.0513
Cell545	CellType1	0.325	0.8891
Cell546	CellType1	0.43120000000000003	0.7384
Cell547	CellType1	0.0672	0.6136
Cell548	CellType1	0.2604	0.7208
Cell549	CellType1	0.9349	0.099
Cell550	CellType1	0.7378	0.2841
Cell551	CellType2	0.9455	0.9668
Cell552	CellType1	0.1322	0.7559
Cell553	CellType1	0.5776	0.7007
Cell554	CellType2	0.0704	0.184
Cell555	CellType1	0.2387	0.1687
Cell556	CellType1	0.46	0.0103
Cell557	CellType2	0.2549	0.7558
Cell558	CellType1	0.0029	0.255
Cell559	CellType1	0.3959	0.8121
Cell560	CellType1	0.8465	0.7912
Cell561	CellType2	0.6814	0.0334
Cell562	CellType2	0.0863	0.1553
Cell563	CellType1	0.7824	0.9589
Cell564	CellType2	0.5862	0.3319
Cell565	CellType1	0.5846	0.4814
Cell566	CellType2	0.0823	0.7391
Cell567	CellType2	0.2136	0.8913
Cell568	CellType1	0.9914	0.1894
Cell569	CellType1	0.7835	0.3816
Cell570	CellType2	0.555	0.1515
Cell571	CellType1	0.3871	0.523
Cell572	CellType1	0.4028	0.6878
Cell573	CellType1	0.9289	0.4715
Cell574	CellType1	0.946	0.8436
Cell575	CellType1	0.4631	0.8037
Cell576	CellType1	0.7155	0.3376
Cell577	CellType1	0.1729	0.003
Cell578	CellType1	0.9662	0.4294
Cell579	CellType1	0.7035	0.89
Cell580	CellType1	0.2742	0.0795
Cell581	CellType1	0.8673	0.0733
Cell582	CellType1	0.816	0.9487
Cell583	CellType2	0.3745	0.4971
Cell584	CellType1	0.6117	0.3863
Cell585	CellType1	0.3051	0.7356
Cell586	CellType1	0.3091	0.8606
Cell587	CellType2	0.9227	0.9708
Cell588	CellType1	0.3808	0.8992
Cell589	CellType2	0.5473	0.8751
Cell590	CellType1	0.2704	0.5454
Cell591	CellType2	0.4446	0.5108
Cell592	CellType1	0.3186	0.2426
Cell593	CellType1	0.9801	0.1416
Cell594	CellType1	0.0156	0.0083
Cell595	CellType1	0.0335	0.3894
Cell596	CellType2	0.3195	0.684
Cell597	CellType1	0.3148	0.818
Cell598	CellType1	0.6578	0.3458
Cell599	CellType1	0.3102	0.8411
Cell600	CellType1	0.8297	0.9501
Cell601	CellType1	0.1745	0.2538
Cell602	CellType2	0.4239	0.2325
Cell603	CellType2	0.5813	0.6527
Cell604	CellType2	0.4077	0.8858
Cell605	CellType2	0.61	0.1608
Cell606	CellType1	0.7079	0.5383
Cell607	CellType1	0.7311	0.9119
Cell608	CellType1	0.0641	0.0594
Cell609	CellType1	0.6529	0.6473
Cell610	CellType1	0.3224	0.2518
Cell611	CellType1	0.3744	0.2803
Cell612	CellType1	0.4784	0.8205
Cell613	CellType1	0.8616	0.8274
Cell614	CellType1	0.1607	0.8552
Cell615	CellType1	0.313	0.2295
Cell616	CellType1	0.9239	0.8406
Cell617	CellType1	0.9319	0.8058
Cell618	CellType1	0.1929	0.7143
Cell619	CellType1	0.8562	0.1343
Cell620	CellType2	0.7952	0.1289
Cell621	CellType2	0.833	0.2255
Cell622	CellType1	0.1952	0.1229
Cell623	CellType1	0.7826	0.7936
Cell624	CellType2	0.5144	0.0222
Cell625	CellType1	0.9961	0.7019
Cell626	CellType2	0.9519	0.6695
Cell627	CellType1	0.5777	0.8701
Cell628	CellType1	0.3385	0.9972
Cell629	CellType1	0.8294	0.3215
Cell630	CellType1	0.0452	0.003
Cell631	CellType2	0.4632	0.5767
Cell632	CellType1	0.3312	0.3777
Cell633	CellType2	0.0192	0.4025
Cell634	CellType1	0.0434	0.7466
Cell635	CellType1	0.3278	0.9937
Cell636	CellType1	0.2553	0.9143
Cell637	CellType1	0.6744	0.4908
Cell638	CellType1	0.7168	0.6734
Cell639	CellType1	0.513	0.1824
Cell640	CellType2	0.4528	0.1334
Cell641	CellType2	0.3104	0.7535
Cell642	CellType1	0.4087	0.9776
Cell643	CellType1	0.1331	0.4365
Cell644	CellType1	0.3151	0.6025
Cell645	CellType1	0.1519	0.7025
Cell646	CellType1	0.8279	0.0978
Cell647	CellType2	0.627	0.053
Cell648	CellType2	0.9808	0.9733
Cell649	CellType1	0.3138	0.7958
Cell650	CellType2	0.9902	0.2996
Cell651	CellType1	0.0087	0.8757
Cell652	CellType2	0.8012	0.2876
Cell653	CellType1	0.5902	0.1881
Cell654	CellType1	0.2718	0.266
Cell655	CellType1	0.1405	0.6511
Cell656	CellType1	0.7968	0.7307
Cell657	CellType1	0.9593	0.1138
Cell658	CellType2	0.9731	0.8853
Cell659	CellType2	0.8589	0.2642
Cell660	CellType1	0.0967	0.7405
Cell661	CellType2	0.3627	0.8541
Cell662	CellType1	0.0177	0.4919
Cell663	CellType2	0.5281	0.0613
Cell664	CellType1	0.7101	0.4083
Cell665	CellType1	0.3379	0.4797
Cell666	CellType1	0.7465	0.855
Cell667	CellType1	0.4953	0.0729
Cell668	CellType2	0.3014	0.3432
Cell669	CellType1	0.7536	0.8095
Cell670	CellType1	0.5426	0.4624
Cell671	CellType1	0.3845	0.4071
Cell672	CellType1	0.8779	0.2197
Cell673	CellType1	0.4881	0.6064
Cell674	CellType2	0.1547	0.1708
Cell675	CellType2	0.2543	0.051
Cell676	CellType1	0.6262	0.078
Cell677	CellType2	0.3	0.0548
Cell678	CellType1	0.6075	0.1692
Cell679	CellType2	0.7045	0.2963
Cell680	CellType1	0.1741	0.9044
Cell681	CellType2	0.7191	0.4036
Cell682	CellType1	0.2654	0.4208
Cell683	CellType1	0.1125	0.4637
Cell684	CellType2	0.1041	0.1701
Cell685	CellType1	0.4467	0.7402
Cell686	CellType1	0.4922	0.683
Cell687	CellType1	0.0574	0.4715
Cell688	CellType1	0.2612	0.7764
Cell689	CellType2	0.4237	0.2117
Cell690	CellType1	0.5354	0.7133
Cell691	CellType1	0.6225	0.9366
Cell692	CellType2	0.488	0.6138
Cell693	CellType1	0.6456	0.5199
Cell694	CellType1	0.2137	0.9036
Cell695	CellType1	0.5652	0.8388
Cell696	CellType2	0.9069	0.3708
Cell697	CellType1	0.9432	0.0645
Cell698	CellType1	0.3998	0.1361
Cell699	CellType1	0.7676	0.8505
Cell700	CellType1	0.7957	0.8621
Cell701	CellType1	0.652	0.2365
Cell702	CellType2	0.7998	0.2927
Cell703	CellType2	0.2708	0.7937
Cell704	CellType2	0.1615	0.4717
Cell705	CellType1	0.1492	0.1513
