Cell	annotation	x.loc	y.loc	region
Cell51	Adipocyte	0.9419	0.7427	1
Cell52	Epithelial cell	0.7169	0.3314	1
Cell53	Endothelial cell	0.9657	0.4174	1
Cell54	Endothelial cell	0.8659	0.3374	1
Cell55	Endothelial cell	0.8104	0.064	1
Cell56	Epithelial cell	0.9776	0.4185	1
Cell57	Epithelial cell	0.84	0.5577	1
Cell58	Epithelial cell	0.5772	0.09	1
Cell59	Fibroblast	0.9756	0.2316	1
Cell60	Immune (myeloid)	0.5617	0.857	1
Cell61	Endothelial cell	0.6334	0.0438	1
Cell62	Epithelial cell	0.6946	0.5923	1
Cell63	Adipocyte	0.6849	0.5019	1
Cell64	Adipocyte	0.9976	0.8035	1
Cell65	Adipocyte	0.504	0.2347	1
Cell66	Epithelial cell	0.8659	0.6413	1
Cell67	Immune (myeloid)	0.7233	0.2351	1
Cell68	Endothelial cell	0.6138	0.6687	1
Cell69	Adipocyte	0.5028	0.0072	1
Cell70	Adipocyte	0.788	0.7221	1
Cell71	Endothelial cell	0.9689	0.5304	1
Cell72	Epithelial cell	0.8785	0.1269	1
Cell73	Adipocyte	0.5578	0.7007	1
Cell74	Adipocyte	0.7447	0.5166	1
Cell75	Epithelial cell	0.7357	0.2931	1
Cell76	Epithelial cell	0.7949	0.0173	1
Cell77	Adipocyte	0.8786	0.7483	1
Cell78	Epithelial cell	0.545	0.0797	1
Cell79	Adipocyte	0.8978	0.6735	1
Cell80	Adipocyte	0.5051	0.6734	1
Cell81	Fibroblast	0.8553	0.7421	1
Cell82	Adipocyte	0.919	0.5581	1
Cell83	Endothelial cell	0.75	0.7643	1
Cell84	Epithelial cell	0.8769	0.9785	1
Cell85	Immune (myeloid)	0.9067	0.1305	1
Cell86	Fibroblast	0.713	0.7621	1
Cell87	Fibroblast	0.8466	0.5769	1
Cell88	Immune (myeloid)	0.49	0.161	1
Cell89	Adipocyte	0.7466	0.6258	1
Cell90	Fibroblast	0.856	0.9624	1
Cell91	Epithelial cell	0.7498	0.1979	1
Cell92	Endothelial cell	0.8784	0.4272	1
Cell93	Epithelial cell	0.558	0.199	1
Cell94	Adipocyte	0.696	0.5365	1
Cell95	Adipocyte	0.6555	0.3371	1
Cell96	Muscle	0.7173	0.6885	1
Cell97	Adipocyte	0.5982	0.3019	1
Cell98	Epithelial cell	0.8209	0.7319	1
Cell99	Adipocyte	0.9046	0.152	1
Cell100	Fibroblast	0.6543	0.6993	1
Cell101	Epithelial cell	0.5646	0.7096	1
Cell102	Epithelial cell	0.7207	0.7465	1
Cell103	Fibroblast	0.5471	0.9741	1
Cell104	Epithelial cell	0.7555	0.3812	1
Cell105	Immune (myeloid)	0.8453	0.1671	1
Cell106	Adipocyte	0.6111	0.9517	1
Cell107	Endothelial cell	0.9101	0.2565	1
Cell108	Epithelial cell	0.7386	0.7006	1
Cell109	Adipocyte	0.8328	0.2853	1
Cell110	Epithelial cell	0.7553	0.3684	1
Cell111	Epithelial cell	0.9964	0.6694	1
Cell112	Epithelial cell	0.9323	0.2067	1
Cell113	Adipocyte	0.5562	0.2789	1
Cell114	Epithelial cell	0.8887	0.4439	1
Cell115	Fibroblast	0.6093	0.0638	1
Cell116	Epithelial cell	0.6116	0.9963	1
Cell117	Epithelial cell	0.6241	0.8458	1
Cell118	Adipocyte	0.6831	0.6688	1
Cell119	Epithelial cell	0.9511	0.8839	1
Cell120	Adipocyte	0.9191	0.5666	1
Cell121	Epithelial cell	0.8409	0.5004	1
Cell122	Epithelial cell	0.8858	0.5873	1
Cell123	Epithelial cell	0.648	0.9711	1
Cell124	Endothelial cell	0.8228	0.7746	1
Cell125	Endothelial cell	0.5836	0.1019	1
Cell126	Epithelial cell	0.7158	0.6671	1
Cell127	Immune (myeloid)	0.9845	0.1256	1
Cell128	Epithelial cell	0.8443	0.9513	1
Cell129	Epithelial cell	0.6281	0.2467	1
Cell130	Muscle	0.5308	0.7984	1
Cell131	Endothelial cell	0.9543	0.5237	1
Cell132	Adipocyte	0.6277	0.9491	1
Cell133	Epithelial cell	0.8943	0.3719	1
Cell134	Adipocyte	0.7316	0.6073	1
Cell135	Immune (myeloid)	0.8736	0.0046	1
Cell136	Immune (myeloid)	0.5876	0.0532	1
Cell137	Endothelial cell	0.5678	0.5403	1
Cell138	Epithelial cell	0.7529	0.2525	1
Cell139	Endothelial cell	0.926	0.2537	1
Cell140	Epithelial cell	0.6618	0.8759	1
Cell141	Adipocyte	0.7462	0.7199	1
Cell142	Epithelial cell	0.8468	0.578	1
Cell143	Epithelial cell	0.8457	0.86240000000000006	1
Cell144	Epithelial cell	0.6754	0.3795	1
Cell145	Adipocyte	0.7887	0.9537	1
Cell146	Epithelial cell	0.54990000000000006	0.6513	1
Cell147	Epithelial cell	0.53	0.817	1
Cell148	Adipocyte	0.8716	0.9942	1
Cell149	Adipocyte	0.5938	0.9087	1
Cell150	Adipocyte	0.7594	0.3594	1
Cell151	Adipocyte	0.7133	0.3528	1
Cell152	Epithelial cell	0.4635	0.8278	1
Cell153	Epithelial cell	0.9635	0.9398	1
Cell154	Epithelial cell	0.5301	0.2658	1
Cell155	Epithelial cell	0.6929	0.0499	1
Cell156	Epithelial cell	0.8103	0.3133	1
Cell157	Adipocyte	0.8772	0.5256	1
Cell158	Epithelial cell	0.4946	0.9102	1
Cell159	Endothelial cell	0.9728	0.413	1
Cell160	Adipocyte	0.7735	0.1902	1
Cell161	Epithelial cell	0.7715	0.8861	1
Cell162	Epithelial cell	0.9075	0.981	1
Cell163	Adipocyte	0.917	0.0089	1
Cell164	Adipocyte	0.7535	0.1954	1
Cell165	Endothelial cell	0.7449	0.0123	1
Cell166	Endothelial cell	0.5734	0.3937	1
Cell167	Epithelial cell	0.782	0.5834	1
Cell168	Epithelial cell	0.7578	0.1398	1
Cell169	Endothelial cell	0.7582	0.4581	1
Cell170	Epithelial cell	0.5457	0.9536	1
Cell171	Endothelial cell	0.6581	0.8186	1
Cell172	Adipocyte	0.932	0.9106	1
Cell173	Epithelial cell	0.9326	0.0026	1
Cell174	Adipocyte	0.5822	0.9433	1
Cell175	Epithelial cell	0.565	0.4605	1
Cell176	Epithelial cell	0.7341	0.5392	1
Cell177	Adipocyte	0.6647	0.2685	1
Cell178	Epithelial cell	0.6209	0.7434	1
Cell179	Epithelial cell	0.6174	0.0302	1
Cell180	Adipocyte	0.6161	0.7182	1
Cell181	Fibroblast	0.6546	0.2417	1
Cell182	Endothelial cell	0.6847	0.2982	1
Cell183	Epithelial cell	0.5529	0.9778	1
Cell184	Adipocyte	0.5736	0.0627	1
Cell185	Muscle	0.8813	0.7294	1
Cell186	Fibroblast	0.7519	0.2985	1
Cell187	Immune (myeloid)	0.5719	0.3397	1
Cell188	Adipocyte	0.889	0.7441	1
Cell189	Muscle	0.8322	0.815	1
Cell190	Fibroblast	0.6547	0.5021	1
Cell191	Epithelial cell	0.9346	0.6884	1
Cell192	Epithelial cell	0.6752	0.9208	1
Cell193	Endothelial cell	0.7799	0.9023	1
Cell194	Adipocyte	0.7341	0.1833	1
Cell195	Epithelial cell	0.8647	0.7199	1
Cell196	Epithelial cell	0.5484	0.9511	1
Cell197	Epithelial cell	0.5569	0.4948	1
Cell198	Epithelial cell	0.8355	0.4001	1
Cell199	Adipocyte	0.6262	0.5423	1
Cell200	Immune (myeloid)	0.5824	0.027	1
Cell201	Epithelial cell	0.8369	0.961	1
Cell202	Epithelial cell	0.8313	0.8479	1
Cell203	Fibroblast	0.9791	0.3886	1
Cell204	Epithelial cell	0.6177	0.0763	1
Cell205	Endothelial cell	0.6844	0.633	1
Cell206	Fibroblast	0.5576	0.0071	1
Cell207	Endothelial cell	0.6674	0.1502	1
Cell208	Epithelial cell	0.6988	0.2164	1
Cell209	Fibroblast	0.6567	0.5672	1
Cell210	Adipocyte	0.9046	0.4766	1
Cell211	Epithelial cell	0.8239	0.2773	1
Cell212	Immune (myeloid)	0.459	0.0778	1
Cell213	Muscle	0.932	0.0747	1
Cell214	Adipocyte	0.6477	0.3723	1
Cell215	Epithelial cell	0.6711	0.1428	1
Cell216	Adipocyte	0.734	0.0014	1
Cell217	Epithelial cell	0.6575	0.3379	1
Cell218	Epithelial cell	0.8343	0.1058	1
Cell219	Fibroblast	0.7904	0.9802	1
Cell220	Epithelial cell	0.7109	0.4817	1
Cell221	Epithelial cell	0.9795	0.0425	1
Cell222	Epithelial cell	0.9945	0.2271	1
Cell223	Epithelial cell	0.7238	0.6834	1
Cell224	Epithelial cell	0.7571	0.874	1
Cell225	Muscle	0.8342	0.8735	1
Cell226	Endothelial cell	0.543	0.0571	1
Cell227	Fibroblast	0.9419	0.4258	1
Cell228	Fibroblast	0.5914	0.1187	1
Cell229	Adipocyte	0.949	0.7398	1
Cell230	Adipocyte	0.911	0.9648	1
Cell231	Endothelial cell	0.6055	0.0387	1
Cell232	Epithelial cell	0.9177	0.1125	1
Cell233	Adipocyte	0.7883	0.022	1
Cell234	Endothelial cell	0.7972	0.3789	1
Cell235	Adipocyte	0.6466	0.5729	1
Cell236	Epithelial cell	0.851	0.367	1
Cell237	Endothelial cell	0.8732	0.2227	1
Cell238	Adipocyte	0.7007	0.7205	1
Cell239	Endothelial cell	0.9054	0.6965	1
Cell240	Endothelial cell	0.8686	0.8878	1
Cell241	Immune (myeloid)	0.7683	0.7036	1
Cell242	Epithelial cell	0.6707	0.0339	1
Cell243	Immune (myeloid)	0.6596	0.624	1
Cell244	Epithelial cell	0.8039	0.7346	1
Cell245	Endothelial cell	0.8733	0.2407	1
Cell246	Epithelial cell	0.9954	0.6339	1
Cell247	Epithelial cell	0.9902	0.6913	1
Cell248	Epithelial cell	0.8714	0.0464	1
Cell249	Epithelial cell	0.4906	0.0751	1
Cell250	Epithelial cell	0.5654	0.2831	1
Cell251	Muscle	0.9002	1e-4	1
Cell252	Epithelial cell	0.8147	0.6781	1
Cell253	Epithelial cell	0.7377	0.0839	1
Cell254	Epithelial cell	0.7072	0.6566	1
Cell255	Epithelial cell	0.5354	0.7342	1
Cell256	Fibroblast	0.8261	0.8383	1
Cell257	Epithelial cell	0.7021	0.7268	1
Cell258	Epithelial cell	0.5312	0.836	1
Cell259	Endothelial cell	0.796	0.2053	1
Cell260	Epithelial cell	0.4589	0.0349	1
Cell261	Adipocyte	0.8859	0.744	1
Cell262	Adipocyte	0.7714	0.8529	1
Cell263	Endothelial cell	0.7728	0.1751	1
Cell264	Epithelial cell	0.7058	0.4216	1
Cell265	Epithelial cell	0.9308	0.1265	1
Cell266	Fibroblast	0.5578	0.6418	1
Cell267	Fibroblast	0.7017	0.3898	1
Cell268	Adipocyte	0.938	0.683	1
Cell269	Immune (myeloid)	0.4583	0.7513	1
Cell270	Epithelial cell	0.8858	0.0355	1
Cell271	Epithelial cell	0.9619	0.4099	1
Cell272	Epithelial cell	0.967	0.164	1
Cell273	Fibroblast	0.7108	0.3509	1
Cell274	Fibroblast	0.6468	0.0415	1
Cell275	Epithelial cell	0.793	0.1844	1
Cell276	Immune (myeloid)	0.5384	0.6671	1
Cell277	Adipocyte	0.7069	0.4621	1
Cell278	Epithelial cell	0.5337	0.0471	1
Cell279	Epithelial cell	0.6451	0.1131	1
Cell280	Adipocyte	0.7551	0.5957	1
Cell281	Epithelial cell	0.8721	0.8829	1
Cell282	Epithelial cell	0.4502	0.0973	1
Cell283	Epithelial cell	0.4597	0.1384	1
Cell284	Immune (myeloid)	0.779	0.7036	1
Cell285	Adipocyte	0.9094	0.3898	1
Cell286	Endothelial cell	0.9998	0.3317	1
Cell287	Adipocyte	0.8755	0.7641	1
Cell288	Adipocyte	0.6502	0.4339	1
Cell289	Epithelial cell	0.6314	0.3286	1
Cell290	Adipocyte	0.8821	0.7445	1
Cell291	Fibroblast	0.741	0.7418	1
Cell292	Epithelial cell	0.8929	0.1954	1
Cell293	Epithelial cell	0.9928	0.4902	1
Cell294	Epithelial cell	0.9794	0.1557	1
Cell295	Adipocyte	0.8635	0.3238	1
Cell296	Epithelial cell	0.5416	0.9401	1
Cell297	Epithelial cell	0.7386	0.9831	1
Cell298	Fibroblast	0.6791	0.9382	1
Cell299	Epithelial cell	0.614	0.5502	1
Cell300	Fibroblast	0.6094	0.7974	1
Cell301	Epithelial cell	0.9166	0.0901	1
Cell302	Muscle	0.6689	0.4455	1
Cell303	Adipocyte	0.9029	0.8062	1
Cell304	Epithelial cell	0.9458	0.7616	1
Cell305	Immune (myeloid)	0.8147	0.3629	1
Cell306	Muscle	0.7909	0.8477	1
Cell307	Adipocyte	0.9941	0.6912	1
Cell308	Epithelial cell	0.5596	0.166	1
Cell309	Fibroblast	0.6996	0.9996	1
Cell310	Fibroblast	0.6281	0.6637	1
Cell311	Epithelial cell	0.62	0.4874	1
Cell312	Endothelial cell	0.8188	0.5972	1
Cell313	Fibroblast	0.606	0.9771	1
Cell314	Epithelial cell	0.8153	0.5311	1
Cell315	Adipocyte	0.5991	0.0277	1
Cell316	Fibroblast	0.8281	0.9429	1
Cell317	Epithelial cell	0.8077	0.2219	1
Cell318	Epithelial cell	0.8183	0.0338	1
Cell319	Adipocyte	0.4509	0.9258	1
Cell320	Epithelial cell	0.8258	0.7756	1
Cell321	Adipocyte	0.6839	0.6615	1
Cell322	Adipocyte	0.6841	0.8562	1
Cell323	Epithelial cell	0.4717	0.0385	1
Cell324	Endothelial cell	0.7014	0.3185	1
Cell325	Adipocyte	0.5796	0.7571	1
Cell326	Adipocyte	0.6527	0.2385	1
Cell327	Fibroblast	0.6706	0.958	1
Cell328	Epithelial cell	0.7411	0.1803	1
Cell329	Epithelial cell	0.8708	0.8012	1
Cell330	Endothelial cell	0.9273	0.1515	1
Cell331	Epithelial cell	0.8908	0.3519	1
Cell332	Fibroblast	0.6651	0.5429	1
Cell333	Epithelial cell	0.6446	0.9222	1
Cell334	Adipocyte	0.6469	0.0584	1
Cell335	Fibroblast	0.8797	0.9935	1
Cell336	Epithelial cell	0.5508	0.2134	1
Cell337	Adipocyte	0.7159	0.5081	1
Cell338	Epithelial cell	0.9804	0.1332	1
Cell339	Epithelial cell	0.734	0.8041	1
Cell340	Epithelial cell	0.844	0.7238	1
Cell341	Epithelial cell	0.5673	0.8722	1
Cell342	Epithelial cell	0.9986	0.7302	1
Cell343	Adipocyte	0.4672	0.1884	1
Cell344	Adipocyte	0.9593	0.7828	1
Cell345	Immune (myeloid)	0.5487	0.1079	1
Cell346	Adipocyte	0.7431	0.4867	1
Cell347	Adipocyte	0.4586	0.135	1
Cell348	Adipocyte	0.7239	0.164	1
Cell349	Epithelial cell	0.9969	0.3554	1
Cell350	Endothelial cell	0.7462	0.5539	1
Cell351	Fibroblast	0.8612	0.2203	1
Cell352	Adipocyte	0.7532	0.2576	1
Cell353	Adipocyte	0.7379	0.0013	1
Cell354	Immune (myeloid)	0.5936	0.9157	1
Cell355	Adipocyte	0.4865	0.8928	1
Cell356	Fibroblast	0.7282	0.9058	1
Cell357	Epithelial cell	0.5634	0.4697	1
Cell358	Adipocyte	0.6491	0.8234	1
Cell359	Muscle	0.946	0.0709	1
Cell360	Epithelial cell	0.5234	0.7862	1
Cell361	Fibroblast	0.6199	0.9708	1
Cell362	Adipocyte	0.7367	0.6511	1
Cell363	Epithelial cell	0.6861	0.7471	1
Cell364	Endothelial cell	0.9975	0.0026	1
Cell365	Fibroblast	0.8386	0.4553	1
Cell366	Epithelial cell	0.546	0.2618	1
Cell367	Epithelial cell	0.9546	0.5803	1
Cell368	Epithelial cell	0.7594	0.7867	1
Cell369	Adipocyte	0.9769	0.5673	1
Cell370	Epithelial cell	0.6554	0.2543	1
Cell371	Epithelial cell	0.893	0.7144	1
Cell372	Epithelial cell	0.8517	0.1298	1
Cell373	Muscle	0.8383	0.7352	1
Cell374	Epithelial cell	0.9824	0.2547	1
Cell375	Fibroblast	0.9484	0.7137	1
Cell376	Immune (myeloid)	0.7421	0.9766	1
Cell377	Fibroblast	0.9084	0.5924	1
Cell378	Adipocyte	0.8191	0.1583	1
Cell379	Fibroblast	0.7629	0.3786	1
Cell380	Fibroblast	0.5736	0.9851	1
Cell381	Adipocyte	0.6096	0.5939	1
Cell382	Immune (myeloid)	0.9509	0.6891	1
Cell383	Endothelial cell	0.4999	0.9471	1
Cell384	Adipocyte	0.9803	0.1485	1
Cell385	Adipocyte	0.7941	0.1412	1
Cell386	Epithelial cell	0.6184	0.2126	1
Cell387	Epithelial cell	0.8211	0.8095	1
Cell388	Endothelial cell	0.7377	0.9652	1
Cell389	Epithelial cell	0.7612	0.6748	1
Cell390	Fibroblast	0.922	0.3304	1
Cell391	Epithelial cell	0.6227	0.9594	1
Cell392	Endothelial cell	0.9176	0.135	1
Cell393	Adipocyte	0.7925	0.385	1
Cell394	Adipocyte	0.7262	0.045	1
Cell395	Epithelial cell	0.6568	0.22	1
Cell396	Epithelial cell	0.9823	0.4605	1
Cell397	Epithelial cell	0.8833	0.7491	1
Cell398	Adipocyte	0.963	0.793	1
Cell399	Epithelial cell	0.7229	0.3286	1
Cell400	Fibroblast	0.6238	0.2308	1
Cell401	Adipocyte	0.6683	0.9671	1
Cell402	Epithelial cell	0.9626	0.2803	1
Cell403	Endothelial cell	0.8381	0.9757	1
Cell404	Epithelial cell	0.9439	0.6395	1
Cell405	Epithelial cell	0.59	0.6064	1
Cell406	Epithelial cell	0.5544	0.5893	1
Cell407	Endothelial cell	0.7702	0.7483	1
Cell408	Adipocyte	0.7907	0.6605	1
Cell409	Fibroblast	0.9602	0.1605	1
Cell410	Epithelial cell	0.6257	0.9106	1
Cell411	Epithelial cell	0.5628	0.0768	1
Cell412	Adipocyte	0.9868	0.4292	1
Cell413	Endothelial cell	0.8395	0.1283	1
Cell414	Immune (myeloid)	0.9	0.5623	1
Cell415	Adipocyte	0.7796	0.0195	1
Cell416	Adipocyte	0.786	0.0483	1
Cell417	Endothelial cell	0.6833	0.7828	1
Cell418	Fibroblast	0.9932	0.7183	1
Cell419	Epithelial cell	0.8644	0.2809	1
Cell420	Epithelial cell	0.9709	0.9345	1
Cell421	Fibroblast	0.6879	0.3334	1
Cell422	Epithelial cell	0.9736	0.1915	1
Cell423	Fibroblast	0.6579	0.3438	1
Cell424	Adipocyte	0.8048	0.1272	1
Cell425	Epithelial cell	0.8411	0.5512	1
Cell426	Epithelial cell	0.8504	0.9458	1
Cell427	Fibroblast	0.9611	0.3093	1
Cell428	Epithelial cell	0.5768	0.6281	1
Cell429	Epithelial cell	0.8278	0.7774	1
Cell430	Adipocyte	0.6969	0.1796	1
Cell431	Epithelial cell	0.9399	0.2795	1
Cell432	Adipocyte	0.8839	0.5723	1
Cell433	Fibroblast	0.5708	0.1483	1
Cell434	Epithelial cell	0.6778	0.788	1
Cell435	Adipocyte	0.5863	0.4081	1
Cell436	Adipocyte	0.8141	0.114	1
Cell437	Fibroblast	0.6966	0.0301	1
Cell438	Epithelial cell	0.5675	0.0208	1
Cell439	Adipocyte	0.7944	0.0582	1
Cell440	Epithelial cell	0.6247	0.0632	1
Cell441	Endothelial cell	0.8787	0.626	1
Cell442	Immune (myeloid)	0.8786	0.3634	1
Cell443	Epithelial cell	0.9982	0.5929	1
Cell444	Fibroblast	0.7781	0.7772	1
Cell445	Fibroblast	0.6075	0.6116	1
Cell446	Endothelial cell	0.8222	0.0324	1
Cell447	Epithelial cell	0.6533	0.4255	1
Cell448	Epithelial cell	0.7912	0.5063	1
Cell449	Fibroblast	0.6653	0.9905	1
Cell450	Adipocyte	0.8459	0.8314	1
Cell451	Fibroblast	0.5975	0.5898	1
Cell452	Adipocyte	0.7521	0.1396	1
Cell453	Adipocyte	0.7467	0.8352	1
Cell454	Adipocyte	0.8475	0.745	1
Cell455	Adipocyte	0.6017	0.7223	1
Cell456	Adipocyte	0.5514	0.9903	1
Cell457	Adipocyte	0.9301	0.03	1
Cell458	Fibroblast	0.9398	0.196	1
Cell459	Endothelial cell	0.6023	0.4438	1
Cell460	Epithelial cell	0.6459	0.3891	1
Cell461	Epithelial cell	0.7262	0.305	1
Cell462	Fibroblast	0.9937	0.4507	1
Cell463	Adipocyte	0.8905	0.986	1
Cell464	Adipocyte	0.865	0.1485	1
Cell465	Endothelial cell	0.651	0.3382	1
Cell466	Adipocyte	0.5545	0.0316	1
Cell467	Adipocyte	0.546	0.8283	1
Cell468	Immune (myeloid)	0.8567	0.0108	1
Cell469	Fibroblast	0.8906	0.8199	1
Cell470	Adipocyte	0.6418	0.1228	1
Cell471	Epithelial cell	0.5095	0.71	1
Cell472	Adipocyte	0.7561	0.3312	1
Cell473	Adipocyte	0.9251	0.3116	1
Cell474	Epithelial cell	0.9889	0.1332	1
Cell475	Adipocyte	0.577	0.0887	1
Cell476	Endothelial cell	0.5555	0.4711	1
Cell477	Adipocyte	0.7251	0.5411	1
Cell478	Epithelial cell	0.5267	0.6009	1
Cell479	Immune (myeloid)	0.8754	0.1198	1
Cell480	Endothelial cell	0.6636	0.4307	1
Cell481	Epithelial cell	0.8473	0.4632	1
Cell482	Adipocyte	0.9074	0.0491	1
Cell483	Epithelial cell	0.5781	0.2745	1
Cell484	Adipocyte	0.7617	0.2092	1
Cell485	Adipocyte	0.705	0.5792	1
Cell486	Epithelial cell	0.5597	0.5102	1
Cell487	Adipocyte	0.6567	0.3558	1
Cell488	Epithelial cell	0.7481	0.2762	1
Cell489	Muscle	0.5351	0.1612	1
Cell490	Epithelial cell	0.5217	0.3186	1
Cell491	Epithelial cell	0.5658	0.1844	1
Cell492	Endothelial cell	0.8742	0.2494	1
Cell493	Epithelial cell	0.5656	0.0984	1
Cell494	Fibroblast	0.5743	0.2309	1
Cell495	Adipocyte	0.6935	0.7643	1
Cell496	Epithelial cell	0.5958	0.1194	1
Cell497	Epithelial cell	0.6847	0.015	1
Cell498	Epithelial cell	0.761	0.4036	1
Cell499	Epithelial cell	0.8111	0.7897	1
Cell500	Adipocyte	0.6258	0.7466	1
Cell501	Adipocyte	0.9759	0.1597	1
Cell502	Fibroblast	0.5853	0.8899	1
Cell503	Immune (myeloid)	0.761	0.2203	1
Cell504	Adipocyte	0.7507	0.3217	1
Cell505	Adipocyte	0.5137	0.8994	1
Cell506	Fibroblast	0.979	0.9659	1
Cell507	Epithelial cell	0.7046	0.2127	1
Cell508	Adipocyte	0.5685	0.8	1
Cell509	Epithelial cell	0.9096	0.0248	1
Cell510	Adipocyte	0.5455	0.9694	1
Cell511	Adipocyte	0.9576	0.4776	1
Cell512	Adipocyte	0.7621	0.8525	1
Cell513	Epithelial cell	0.7229	0.7417	1
Cell514	Fibroblast	0.7401	0.942	1
Cell515	Adipocyte	0.6733	0.4535	1
Cell516	Fibroblast	0.6477	0.3662	1
Cell517	Adipocyte	0.5332	0.7656	1
Cell518	Epithelial cell	0.7531	9e-4	1
Cell519	Epithelial cell	0.9075	0.7186	1
Cell520	Adipocyte	0.6176	0.2958	1
Cell521	Epithelial cell	0.8667	0.3722	1
Cell522	Epithelial cell	0.6847	0.2414	1
Cell523	Epithelial cell	0.5837	0.9599	1
Cell524	Epithelial cell	0.9903	0.1109	1
Cell525	Endothelial cell	0.945	0.1756	1
Cell526	Fibroblast	0.9611	0.8929	1
Cell527	Epithelial cell	0.7015	0.9034	1
Cell528	Adipocyte	0.661	0.6088	1
Cell529	Endothelial cell	0.7187	0.7038	1
Cell530	Immune (myeloid)	0.8087	0.2876	1
Cell531	Adipocyte	0.546	0.2024	1
Cell532	Epithelial cell	0.8707	0.4016	1
Cell533	Fibroblast	0.6117	0.1265	1
Cell534	Adipocyte	0.5664	0.8807	1
Cell535	Muscle	0.8073	0.4617	1
Cell536	Fibroblast	0.9449	0.1175	1
Cell537	Adipocyte	0.545	0.0751	1
Cell538	Epithelial cell	0.7195	0.7924	1
Cell539	Fibroblast	0.9557	0.4675	1
Cell540	Epithelial cell	0.7038	0.8358	1
Cell541	Adipocyte	0.7128	0.6402	1
Cell542	Endothelial cell	0.9371	0.0997	1
Cell543	Immune (myeloid)	0.9389	0.1668	1
Cell544	Epithelial cell	0.497	0.1946	1
Cell545	Endothelial cell	0.647	0.5275	1
Cell546	Epithelial cell	0.7962	0.6282	1
Cell547	Fibroblast	0.6065	0.1862	1
Cell548	Epithelial cell	0.4634	0.0729	1
Cell549	Immune (myeloid)	0.6811	0.6847	1
Cell550	Epithelial cell	0.636	0.4109	1
Cell551	Epithelial cell	0.9481	0.6934	1
Cell552	Endothelial cell	0.9733	0.083	1
Cell553	Immune (myeloid)	0.5247	0.2289	1
Cell554	Epithelial cell	0.9364	0.8749	1
Cell555	Epithelial cell	0.7127	0.5648	1
Cell556	Adipocyte	0.9183	0.2827	1
Cell557	Immune (myeloid)	0.7263	0.1828	1
Cell558	Epithelial cell	0.9342	0.2202	1
Cell559	Epithelial cell	0.89	0.6973	1
Cell560	Adipocyte	0.9408	0.4015	1
Cell561	Endothelial cell	0.623	0.1093	1
Cell562	Fibroblast	0.5785	0.3069	1
Cell563	Endothelial cell	0.5636	0.4675	1
Cell564	Epithelial cell	0.5763	0.0433	1
Cell565	Endothelial cell	0.7347	0.0724	1
Cell566	Adipocyte	0.7902	0.2114	1
Cell567	Adipocyte	0.5063	0.9942	1
Cell568	Epithelial cell	0.7424	0.5221	1
Cell569	Immune (myeloid)	0.5191	0.7039	1
Cell570	Epithelial cell	0.98740000000000006	0.7162	1
