"CellType2" "CellType1" "CellType3" "CellType2" "CellType3" "CellType2" "CellType3" "CellType1" "CellType1" "CellType3" "CellType3" "CellType2" "CellType2" "CellType3" "CellType1" "CellType2" "CellType3" "CellType1" "CellType3" "CellType2" "CellType1" "CellType1" "CellType1" "CellType3" "CellType1" "CellType2" "CellType3" "CellType3" "CellType1" "CellType2" "CellType1" "CellType1" "CellType1" "CellType1" "CellType1" "CellType3" "CellType1" "CellType1" "CellType3" "CellType1" "CellType1" "CellType2" "CellType1" "CellType3" "CellType3" "CellType2" "CellType3" "CellType2" "CellType2" "CellType1"
"Gene66" 5 0 1 3 0 3 0 2 1 1 3 1 4 5 4 1 2 1 1 1 4 3 1 1 2 4 1 1 2 3 2 2 3 0 2 0 1 1 1 3 2 1 2 0 3 1 0 3 2 3
"Gene67" 3 1 4 2 1 3 3 5 1 0 3 3 3 3 5 2 1 1 1 2 3 0 4 1 2 5 1 1 1 3 2 0 5 2 4 0 2 2 0 0 4 1 4 0 2 1 0 1 3 3
"Gene68" 5 2 0 1 1 3 3 4 2 2 1 1 2 1 1 4 2 3 0 1 1 3 1 2 1 1 1 1 3 3 5 2 1 1 1 5 2 3 3 2 2 2 1 0 2 1 1 2 5 0
"Gene69" 0 2 0 2 2 4 2 2 3 2 6 4 3 0 2 2 2 2 1 1 2 5 1 2 3 3 2 3 0 1 1 3 3 1 2 0 2 1 2 5 0 4 2 4 1 2 4 2 0 6
"Gene70" 3 3 1 3 3 9 0 2 2 1 2 0 2 2 4 2 1 1 3 2 4 1 0 3 1 1 2 3 2 4 1 3 0 2 4 1 1 0 2 3 3 2 1 2 1 3 2 0 1 2
"Gene71" 5 1 1 0 0 0 1 4 3 2 1 3 2 0 2 0 3 2 3 1 2 3 3 3 0 1 7 2 4 1 3 1 4 2 2 0 1 2 1 5 4 1 4 2 3 3 1 3 1 2
"Gene72" 0 0 3 1 2 1 2 1 1 2 2 3 0 2 3 3 2 1 2 3 1 2 1 0 2 3 2 4 0 3 6 2 4 3 2 1 2 1 2 2 3 0 3 2 0 0 3 5 5 2
"Gene73" 2 1 1 1 1 0 1 3 0 1 2 2 4 3 1 1 5 3 1 3 4 2 1 2 0 1 3 3 2 1 1 1 1 0 2 3 1 4 1 3 1 1 1 2 1 1 2 1 0 4
"Gene74" 0 3 3 1 2 0 3 1 2 3 2 1 4 4 1 0 5 1 1 2 0 3 3 0 2 1 1 3 3 2 1 0 3 3 3 2 1 0 1 1 1 2 0 2 4 2 2 2 0 1
"Gene75" 4 2 0 6 1 2 2 1 2 1 2 2 1 2 0 3 1 1 2 3 0 2 1 1 0 4 3 2 0 1 4 1 1 3 2 0 3 3 1 3 0 1 1 1 2 0 8 1 2 5
"Gene76" 6 2 2 3 1 2 2 1 0 5 1 1 0 1 3 3 0 1 1 3 2 1 1 4 1 2 2 0 1 0 2 0 5 5 3 0 5 1 2 1 2 2 2 1 3 0 2 4 0 2
"Gene77" 2 2 4 0 2 1 0 2 1 1 1 0 1 0 3 0 3 2 3 1 3 5 3 0 4 1 2 0 0 1 4 2 4 0 0 0 4 5 1 3 1 4 2 1 0 0 6 2 1 2
"Gene78" 0 2 2 3 1 1 1 0 4 1 0 1 1 4 2 3 2 3 3 1 1 2 2 3 2 2 2 0 3 2 1 3 4 1 1 1 3 1 3 2 0 2 1 1 3 2 2 4 1 5
"Gene79" 3 1 1 0 1 2 1 1 2 2 2 1 3 0 1 2 2 1 0 1 2 2 3 2 4 0 3 2 1 3 1 1 3 1 2 2 0 3 4 1 1 4 3 3 2 0 1 2 1 0
"Gene80" 3 3 2 4 3 2 2 2 0 1 1 4 6 3 2 1 2 2 2 0 2 4 1 4 4 3 0 4 3 2 1 3 4 2 1 3 0 2 0 4 2 3 2 1 0 3 0 5 4 1
"Gene81" 2 2 5 0 3 0 2 2 3 0 0 2 2 2 1 4 1 1 2 2 2 4 0 2 4 1 3 3 4 0 5 2 3 3 0 2 1 2 1 4 3 0 2 1 1 1 1 3 4 8
"Gene82" 1 0 5 2 1 4 2 2 2 2 2 3 4 2 6 2 1 1 0 1 5 1 2 1 3 0 2 1 0 2 2 1 2 0 3 5 1 1 2 2 0 2 1 2 4 0 0 0 1 3
"Gene83" 4 1 4 5 0 5 6 1 1 2 2 2 3 2 1 3 2 1 2 4 2 1 5 2 3 2 2 1 2 2 3 2 1 2 3 3 0 1 5 1 2 2 1 2 5 2 1 2 2 2
"Gene84" 1 0 1 3 5 0 3 7 1 2 0 2 2 2 3 2 2 1 4 1 3 2 2 0 2 4 2 2 4 3 4 1 2 1 3 0 3 4 1 5 3 1 2 0 3 4 4 1 1 3
"Gene85" 2 2 1 2 0 0 4 0 3 0 1 3 1 3 1 2 2 1 2 2 6 4 3 4 1 2 1 2 3 0 0 2 1 2 2 3 0 1 6 4 3 4 2 4 2 2 3 1 1 3
"Gene86" 2 2 3 2 0 1 1 2 3 5 3 4 3 4 2 0 2 1 6 0 2 0 1 4 2 7 1 1 1 5 2 4 1 0 3 1 3 1 3 1 3 2 3 0 4 2 1 1 1 2
"Gene87" 2 4 1 2 3 2 1 3 1 1 4 1 1 0 3 2 1 3 1 2 1 4 1 2 0 2 3 2 1 1 2 2 3 0 2 1 0 1 4 3 0 1 1 0 1 1 2 2 3 2
"Gene88" 2 2 6 3 1 3 1 1 1 2 3 4 1 4 0 4 4 0 0 1 1 1 2 1 2 2 5 2 2 0 3 1 1 1 0 4 0 1 2 1 2 2 2 3 3 3 2 0 2 2
"Gene89" 2 3 1 2 6 2 1 2 2 4 2 5 4 1 1 3 2 1 1 2 1 1 1 0 3 2 1 1 2 4 1 5 3 3 4 3 5 1 2 4 0 4 1 2 2 0 3 1 1 3
"Gene90" 1 2 2 4 5 4 0 4 1 2 2 0 3 1 1 3 3 0 1 3 6 1 0 3 1 1 2 5 1 3 0 3 3 3 3 0 2 2 1 2 3 2 1 3 2 2 2 4 4 2
"Gene91" 3 0 2 4 2 1 2 3 3 3 0 7 3 3 1 3 2 3 5 0 2 4 2 2 3 5 3 3 0 0 1 2 3 1 3 2 1 1 2 3 2 3 0 2 4 3 4 2 3 1
"Gene92" 4 4 2 1 2 3 0 2 1 2 0 0 0 2 2 3 4 1 7 1 3 0 5 3 1 2 0 2 1 1 0 0 3 4 2 1 2 3 4 1 0 3 4 1 3 3 2 0 4 1
"Gene93" 1 3 2 4 3 2 3 3 1 4 3 3 1 1 2 1 1 1 0 2 3 1 0 2 1 3 1 1 4 1 4 3 3 1 3 4 1 5 2 1 1 3 2 2 4 2 2 3 2 2
"Gene94" 0 2 2 2 0 2 1 0 1 5 1 1 0 5 9 3 2 3 1 2 4 4 1 4 3 0 5 2 3 1 1 0 2 0 6 5 3 3 1 1 4 3 1 1 1 2 1 1 2 3
"Gene95" 1 3 2 3 2 0 4 5 2 1 0 0 1 2 0 1 0 0 1 2 5 1 3 1 1 2 1 2 0 1 0 1 1 1 1 4 2 3 0 1 0 0 5 2 2 3 2 2 2 0
"Gene96" 1 1 2 0 1 5 5 1 3 3 5 0 5 2 4 2 4 5 3 3 3 4 2 1 4 1 2 1 1 5 0 3 4 0 0 3 2 1 0 0 0 4 1 4 1 3 3 3 0 3
"Gene97" 2 2 3 1 2 3 1 3 3 0 3 4 2 1 0 4 0 2 4 1 4 3 2 3 4 2 3 1 2 2 0 2 2 2 0 1 3 2 3 2 1 2 3 0 2 0 3 1 3 0
"Gene98" 3 1 1 0 4 0 3 0 3 1 1 3 3 2 3 3 2 1 2 2 1 1 2 3 4 1 3 3 0 3 2 5 3 4 1 2 1 1 4 3 3 1 3 1 2 3 1 1 2 5
"Gene99" 4 1 4 1 3 1 1 3 1 1 0 2 1 0 2 3 2 0 3 2 3 1 1 0 1 2 3 3 0 3 3 2 0 2 3 2 2 2 2 0 1 2 4 1 2 3 0 3 3 2
"Gene100" 4 2 3 0 3 1 0 2 2 3 1 5 1 1 0 6 2 5 5 3 2 3 0 4 1 2 3 0 2 2 3 4 3 2 4 6 1 4 1 0 5 0 6 5 1 3 3 2 1 2
"Gene101" 1 0 1 2 3 3 3 5 3 2 4 0 2 0 2 2 3 2 3 0 3 0 3 1 0 1 2 4 4 2 0 2 1 0 1 5 3 2 2 4 2 3 1 0 1 4 4 2 1 0
"Gene102" 3 3 0 2 2 3 4 2 1 2 2 2 3 3 1 4 3 1 3 1 2 3 2 2 3 4 4 1 1 3 1 1 1 2 1 1 2 1 2 1 1 2 2 1 6 0 0 2 2 1
"Gene103" 3 1 1 4 1 3 1 2 2 2 3 1 3 1 2 3 0 1 1 3 2 1 1 2 2 1 2 0 2 4 1 0 1 1 3 0 1 1 4 1 3 3 1 5 2 1 1 4 1 2
"Gene104" 2 2 1 0 4 2 1 3 0 1 5 1 2 1 2 2 3 1 1 1 0 1 2 0 3 2 1 0 3 1 0 2 0 2 4 0 1 1 2 4 0 6 0 2 3 2 3 1 2 2
"Gene105" 1 2 2 5 3 2 2 2 2 1 1 4 6 3 2 2 3 1 1 4 3 1 4 6 4 2 1 5 1 1 4 4 2 2 2 2 1 0 3 3 2 0 3 2 1 2 3 4 2 2
"Gene106" 1 3 2 1 2 3 1 0 0 1 0 1 2 3 4 1 2 3 3 1 3 2 1 2 0 1 1 3 0 5 2 3 1 3 1 0 1 4 1 1 3 2 2 0 1 3 2 5 2 2
"Gene107" 0 2 4 2 1 1 1 3 2 2 2 1 0 3 5 1 2 1 0 3 2 1 3 3 4 0 2 3 0 3 1 2 3 1 2 0 1 1 2 2 2 1 1 1 2 1 2 2 4 4
"Gene108" 0 3 2 2 2 3 1 1 1 3 2 1 2 0 2 0 4 1 2 2 1 3 2 1 1 3 5 5 7 3 3 3 0 1 2 1 2 2 4 0 1 0 1 4 3 1 1 3 2 2
"Gene109" 0 2 2 2 2 0 1 0 1 4 3 3 3 1 3 0 2 2 2 5 0 1 3 2 1 0 2 6 2 0 2 1 4 2 0 2 1 2 2 2 2 6 1 5 0 3 2 3 3 1
"Gene110" 2 4 2 3 1 3 1 2 2 1 2 2 0 1 3 3 5 1 1 2 2 1 4 3 1 1 5 5 3 0 1 0 4 2 1 0 0 0 0 2 0 4 0 2 1 1 4 1 1 1
"Gene111" 0 3 3 1 2 1 1 1 0 1 2 1 2 2 2 1 3 4 4 3 1 3 3 1 1 3 5 0 2 1 1 8 4 2 2 3 0 0 3 0 2 2 3 0 4 1 0 5 2 2
"Gene112" 4 1 3 2 0 0 2 1 6 3 0 2 1 1 0 3 2 3 1 3 0 2 1 5 2 2 3 2 1 4 3 4 1 3 0 2 3 3 1 2 4 3 1 2 3 1 2 1 1 1
"Gene113" 0 1 2 1 1 1 1 2 4 2 1 1 0 0 3 4 1 1 3 0 2 1 1 4 2 2 3 2 2 0 0 3 2 1 1 2 2 1 5 2 4 0 3 1 3 2 1 1 0 2
"Gene114" 2 2 0 1 1 1 2 3 2 4 1 1 3 1 1 2 1 1 1 1 4 4 1 1 1 2 3 0 2 3 2 3 2 4 1 2 2 2 4 3 0 3 4 2 1 1 3 2 1 4
"Gene115" 0 1 1 2 1 3 2 3 1 3 1 4 3 2 2 1 2 0 1 0 2 1 0 1 4 2 2 1 3 5 3 1 0 2 1 3 0 3 3 1 6 2 1 1 2 4 3 2 4 1
"Gene116" 1 1 2 3 2 1 3 1 4 2 1 2 1 3 4 4 0 1 0 2 0 1 3 1 3 1 2 3 0 1 2 3 1 3 1 1 4 3 3 1 4 4 1 0 1 3 2 3 1 1
"Gene117" 0 7 1 6 4 1 0 3 1 1 5 2 2 2 1 0 0 0 2 1 2 1 4 0 4 0 1 2 1 1 2 3 2 3 1 0 3 1 2 1 6 2 2 1 1 1 3 3 2 3
"Gene118" 8 3 2 2 1 4 0 3 2 1 1 0 2 1 1 2 2 2 3 3 3 1 2 4 3 1 4 1 3 1 3 5 1 2 1 3 3 2 1 4 4 5 6 3 6 3 2 2 3 0
"Gene119" 2 2 0 2 3 8 4 2 2 3 0 1 0 1 2 0 1 3 3 1 1 4 2 5 6 1 1 2 2 0 2 0 2 2 3 2 2 2 3 1 1 2 0 2 2 3 2 0 0 1
"Gene120" 1 2 2 0 1 3 0 3 6 3 2 2 3 0 1 3 4 3 1 0 2 1 3 1 1 3 1 1 2 4 4 1 1 5 2 2 3 0 2 2 3 3 2 3 2 0 0 0 1 4
"Gene121" 2 3 3 2 3 3 1 2 2 1 4 1 1 2 4 4 0 1 2 3 3 2 4 2 1 1 4 2 1 3 2 1 1 2 2 3 0 3 2 2 0 3 1 2 1 4 0 2 2 2
"Gene122" 2 0 2 0 4 1 2 2 3 1 4 0 0 1 4 1 1 1 2 3 4 4 1 3 0 2 2 1 2 7 4 2 3 2 2 0 1 1 0 3 1 2 5 0 2 1 0 1 3 1
"Gene123" 2 3 3 5 1 2 4 1 3 2 2 1 1 1 2 2 2 4 3 3 1 1 2 1 0 0 4 2 1 2 1 1 3 1 2 1 5 3 1 3 2 3 3 3 1 3 3 2 2 0
"Gene124" 1 0 2 3 1 6 2 2 3 4 2 0 1 2 3 1 1 1 3 2 4 2 2 1 3 1 4 1 3 2 3 3 1 6 2 1 1 1 1 2 1 3 1 2 0 0 2 4 2 1
"Gene125" 1 2 2 2 3 1 4 4 2 2 2 2 3 3 1 3 2 0 2 2 2 2 1 2 0 3 0 3 1 3 1 4 3 1 0 4 1 3 0 3 0 0 3 4 4 3 3 1 1 1
