Cell	annotation	x.loc	y.loc
Cell55	Fibroblast	8678.0225	543.7306
Cell56	Fibroblast	8553.1856	706.1307
Cell57	Fibroblast	8556.0805	707.4709
Cell58	Fibroblast	9200.6982	-89.3766
Cell59	Macrophage	8941.3986	54.8511
Cell60	Macrophage	8977.7955	33.0484
Cell61	Macrophage	8936.0953	12.2138
Cell62	Macrophage	9084.5174	-57.7372
Cell63	Macrophage	8727.5739	477.7334
Cell64	Macrophage	9065.5775	-84.1623
Cell65	Macrophage	8914.7006	91.5432
Cell66	Macrophage	8966.0689	-34.1782
Cell67	Macrophage	8983.0252	44.4238
Cell68	Macrophage	8885.9663	39.1216
Cell69	Macrophage	9053.6549	30.0492
Cell70	Macrophage	8833.0168	31.8031
Cell71	Macrophage	8938.5137	-27.0569
Cell72	Macrophage	8899.4599	23.8149
Cell73	Macrophage	9108.7852	-67.2587
Cell74	Macrophage	9106.726	-23.0777
Cell75	Macrophage	8792.0239	399.985
Cell76	Macrophage	9080.6205	-42.44
Cell77	Macrophage	9028.1473	-16.9041
Cell78	Macrophage	8855.6703	18.0721
Cell79	Macrophage	9152.8537	-188.8213
Cell80	Macrophage	9073.2476	-167.7944
Cell81	Macrophage	8880.3246	61.3989
Cell82	Macrophage	9008.3523	59.3108
Cell83	Macrophage	8940.5371	44.1326
Cell84	Macrophage	8958.5958	21.0462
Cell85	Macrophage	8922.2452	-39.447
Cell86	Macrophage	8890.42	-41.9658
Cell87	Macrophage	8903.3767	76.0063
Cell88	Macrophage	9057.3208	-152.7476
Cell89	Macrophage	8682.0049	537.0911
Cell90	Macrophage	9258.075	-159.5209
Cell91	Macrophage	9030.6591	-28.1766
Cell92	Macrophage	9113.8073	-103.5851
Cell93	Macrophage	9030.4663	-49.7896
Cell94	Macrophage	9058.5205	-123.4567
Cell95	Macrophage	8899.1557	-19.958
Cell96	Macrophage	9282.2017	-179.8525
Cell97	Macrophage	8951.7457	21.4467
Cell98	Macrophage	8953.7054	76.8403
Cell99	Macrophage	8922.4666	-109.6933
Cell100	Macrophage	8897.691	-26.7177
Cell101	Macrophage	8826.6369	160.3526
Cell102	Macrophage	8958.6899	-51.037
Cell103	Macrophage	8989.9798	-69.3216
Cell104	Macrophage	8954.9996	4.4841
Cell105	Macrophage	8901.6171	-47.1362
Cell106	Macrophage	8986.8046	-93.6204
Cell107	Macrophage	9109.3901	-58.7469
Cell108	Macrophage	9063.1185	-40.1545
Cell109	Macrophage	8984.5456	-42.3892
Cell110	Macrophage	8992.4802	67.9795
Cell111	Macrophage	9014.5623	-15.94
Cell112	Macrophage	9143.3126	-17.1621
Cell113	Macrophage	8984.2371	-88.1963
Cell114	Macrophage	9017.7432	-38.5314
Cell115	Macrophage	8949.5416	-66.0394
Cell116	Macrophage	9036.1836	0.0178
Cell117	Macrophage	9050.2923	-52.7763
Cell118	Macrophage	8936.6112	-21.0079
Cell119	Macrophage	8889.9465	4.8899
Cell120	Macrophage	8888.3835	-19.0963
Cell121	Macrophage	8920.8867	68.5787
Cell122	Macrophage	8993.9865	-20.6515
Cell123	Macrophage	8926.9366000000009	2.2365
Cell124	Macrophage	8956.7971	-24.4438
Cell125	Macrophage	8912.9894	20.7491
Cell126	Macrophage	8913.0815	-14.2768
Cell127	Macrophage	8966.7015	-40.1423
Cell128	Macrophage	8954.7517	-65.2462
Cell129	Macrophage	8898.1564	26.2923
Cell130	Macrophage	9142.0373	-170.35
Cell131	Macrophage	8962.9958	33.8601
Cell132	Macrophage	9048.0814	-22.6367
Cell133	Macrophage	8933.2029	-18.0021
Cell134	Macrophage	8933.569	29.713
Cell135	Macrophage	8935.2302	185.764
Cell136	Macrophage	8944.0019	128.5286
Cell137	Macrophage	8933.4056	117.9046
Cell138	Macrophage	8883.6323	-10.718
Cell139	Macrophage	9005.4143	-36.7277
Cell140	Macrophage	8947.9094	-71.19
Cell141	Macrophage	8991.0213	-88.8425
Cell142	Macrophage	9208.6636	-141.3468
Cell143	Macrophage	8905.0833	27.9259
Cell144	Macrophage	8969.755	103.6061
Cell145	Macrophage	8944.192	-58.8264
Cell146	Macrophage	8953.9882	-41.3662
Cell147	Macrophage	9276.7738	-176.9794
Cell148	Macrophage	8895.5522	54.4554
Cell149	Macrophage	9015.7718	-37.0288
Cell150	Macrophage	8927.6013	27.2216
Cell151	Macrophage	9220.3409	-141.9179
Cell152	Macrophage	8937.0814	0.6167
Cell153	Macrophage	8910.5169	122.7393
Cell154	Macrophage	9246.6594	-158.1323
Cell155	Macrophage	9082.5395	-126.6212
Cell156	Macrophage	9031.7552	-107.2018
Cell157	Macrophage	9015.9496	37.3125
Cell158	Macrophage	8905.2544	-50.5969
Cell159	Macrophage	8933.3156	15.959
Cell160	Macrophage	8891.9143	108.0002
Cell161	Macrophage	9051.2214	31.5136
Cell162	Macrophage	9264.0354	-160.4938
Cell163	Macrophage	8933.388	-30.375
Cell164	Macrophage	8913.1048	140.6865
Cell165	Macrophage	9023.5905	-44.5902
Cell166	Macrophage	9043.7387	-72.6044
Cell167	Macrophage	8934.2019	-14.6494
Cell168	Macrophage	8967.0245	-116.2398
Cell169	Macrophage	8895.2613	69.9106
Cell170	Macrophage	9041.9812	-126.9772
Cell171	Macrophage	8812.6513	344.1413
Cell172	Macrophage	8952.0823	-17.2201
Cell173	Macrophage	8887.2701	37.1839
Cell174	Macrophage	9002.2997	-34.2445
Cell175	Macrophage	9033.687	-132.5064
Cell176	Macrophage	9016.3614	-50.3985
Cell177	Macrophage	8925.1708	0.8373
Cell178	Macrophage	8926.55	-14.1033
Cell179	Macrophage	8952.4774	-19.6191
Cell180	Macrophage	8865.4436	189.9328
Cell181	Macrophage	8930.6738	7.3399
Cell182	Macrophage	8940.3976	-30.2654
Cell183	Macrophage	9004.9431	6.0895
Cell184	Macrophage	8919.122	18.3222
Cell185	Macrophage	8935.895	-8.5686
Cell186	Macrophage	9091.1161	29.0959
Cell187	Macrophage	9048.6376	-35.9093
Cell188	Macrophage	8897.9406	66.9827
Cell189	Macrophage	8840.0413	351.1875
Cell190	Macrophage	9017.18	-54.7029
Cell191	Macrophage	8937.2722	-3.7537
Cell192	Macrophage	8951.0035	-81.8597
Cell193	Macrophage	9060.2625	-103.7126
Cell194	Macrophage	8882.6798	-8.6363
Cell195	Macrophage	9279.8646	-190.1152
Cell196	Macrophage	8901.8787	133.8866
Cell197	Macrophage	9012.0724	-133.3192
Cell198	Macrophage	9074.2796	-16.6632
Cell199	Macrophage	9040.3132	-85.8714
Cell200	Macrophage	8971.7977	7.5693
Cell201	Macrophage	9226.5664	-157.0108
Cell202	Macrophage	8968.4427	-23.2063
Cell203	Macrophage	8998.0218	-63.6404
Cell204	Macrophage	9244.9281	-134.1284
Cell205	Macrophage	9045.3949	-61.5302
Cell206	Macrophage	8925.9332	-35.6595
Cell207	Macrophage	8840.9629	68.1527
Cell208	Macrophage	8887.5701	-37.8564
Cell209	Macrophage	8929.3196	-36.8869
Cell210	Macrophage	8978.1054	-124.0378
Cell211	Macrophage	8899.0135	-39.4512
Cell212	Macrophage	8957.7335	-66.8117
Cell213	Macrophage	9041.4054	-77.671
Cell214	Macrophage	8973.7837	54.2358
Cell215	Macrophage	9000.7449	17.2256
Cell216	Macrophage	8994.9532	-116.8154
Cell217	Macrophage	9015.0001	-124.8968
Cell218	Macrophage	8926.4895	-52.1623
Cell219	Macrophage	8927.3543	-79.6327
Cell220	Macrophage	8664.852	540.2685
Cell221	Macrophage	8951.9646	-1.7396
Cell222	Macrophage	8935.4866	-7.644
Cell223	Macrophage	9039.6109	51.7941
Cell224	Macrophage	8899.2405	42.445
Cell225	Macrophage	8937.974	76.8347
Cell226	Macrophage	9074.2124	-123.4725
Cell227	Macrophage	9178.7479	-152.9333
Cell228	Macrophage	9187.8793	-96.5033
Cell229	Macrophage	9184.4919	-115.0946
Cell230	Macrophage	8943.9741	34.1556
Cell231	Macrophage	9281.2613	-185.9557
Cell232	Macrophage	8936.558	-11.2666
Cell233	Macrophage	8972.5087	19.6827
Cell234	Macrophage	8956.432	-26.5977
Cell235	Macrophage	9023.2886	-96.4787
Cell236	Macrophage	8961.6013	-5.0502
Cell237	Macrophage	9212.8665	-110.3608
Cell238	Macrophage	8835.8482	87.5766
Cell239	Macrophage	8974.5017	-121.6971
Cell240	Macrophage	8905.372	-7.2003
Cell241	Macrophage	8999.3517	-27.7697
Cell242	Macrophage	8564.4412	676.8064
Cell243	Macrophage	8902.8899	62.1417
Cell244	Macrophage	8964.6315	-12.9964
Cell245	Macrophage	8907.3413	34.6102
Cell246	Macrophage	8861.4086	203.5114
Cell247	Macrophage	8949.5165	9.9427
Cell248	Macrophage	9006.2376	-67.8771
Cell249	Macrophage	8930.2407	-53.6995
Cell250	Macrophage	8899.2656	4.3437
Cell251	Macrophage	9250.3345	-165.5879
Cell252	Macrophage	8899.8843	-10.8312
Cell253	Macrophage	8993.1079	-118.4096
Cell254	Macrophage	8865.851	13.8978
Cell255	Macrophage	8970.544	-67.63
Cell256	Macrophage	8940.0732	7.6382
Cell257	Macrophage	8885.4959	-21.0984
Cell258	Macrophage	8907.9305	175.262
Cell259	Macrophage	9002.066	-121.4936
Cell260	Macrophage	9137.3949	-25.5149
Cell261	Macrophage	8760.3901	444.879
Cell262	Macrophage	8933.3483	48.4692
Cell263	Macrophage	8940.4646	9.5292
Cell264	Macrophage	8982.0308	34.2103
Cell265	Macrophage	8982.8869	-84.3142
Cell266	Macrophage	8937.8937	-65.6602
Cell267	Macrophage	8942.2932	-84.3365
Cell268	Macrophage	8999.3671	-26.6131
Cell269	Macrophage	8911.2608	12.3452
Cell270	Macrophage	8916.5297	4.7097
Cell271	Macrophage	9003.6844	-69.6768
Cell272	Macrophage	8994.6021	-8.3419
Cell273	Macrophage	8882.0403	253.3153
Cell274	Macrophage	9237.8476	-140.1732
Cell275	Macrophage	8916.3851	-35.3682
Cell276	Macrophage	8904.212	123.0231
Cell277	Macrophage	9110.3305	4.9233
Cell278	Macrophage	8962.3901	-113.6891
Cell279	Macrophage	8917.5255	1.7078
Cell280	Macrophage	8912.5007	146.0208
Cell281	Macrophage	8836.9359	64.0596
Cell282	Macrophage	8762.1023	404.6269
Cell283	Macrophage	9102.3051	-2.4394
Cell284	Macrophage	8954.7631	10.5629
Cell285	Macrophage	8918.187	-9.4761
Cell286	Macrophage	8947.8679	146.026
Cell287	Macrophage	8848.196	-89.2616
Cell288	Macrophage	8925.9714	-14.4146
Cell289	Macrophage	8902.5129	-4.6624
Cell290	Macrophage	8942.1105	82.2185
Cell291	Macrophage	8897.1805	198.3588
Cell292	Macrophage	9104.9014	-100.3312
Cell293	Macrophage	8999.8401	-106.1675
Cell294	Macrophage	9031.3731	-18.1024
Cell295	Macrophage	9010.8732	-87.6637
Cell296	Macrophage	8950.7796	22.1589
Cell297	Macrophage	8982.3493	-34.7517
Cell298	Macrophage	9105.7168	-52.7475
Cell299	Macrophage	8940.3225	-34.1149
Cell300	Macrophage	8952.4103	-22.5281
Cell301	Macrophage	9142.7174	-71.8898
Cell302	Macrophage	9024.9324	-86.1394
Cell303	Macrophage	8919.0981	42.0705
Cell304	Macrophage	8952.784	-35.05
Cell305	Macrophage	9256.011	-178.0488
Cell306	Macrophage	8954.8581	28.4322
Cell307	Macrophage	8914.8554	-53.8064
Cell308	Macrophage	8773.0655	390.2072
Cell309	Macrophage	9280.1795	-184.539
Cell310	Macrophage	9192.6213	-97.516
Cell311	Macrophage	8967.3016	3.3741
Cell312	Macrophage	8810.9705	343.0473
Cell313	Macrophage	8974.2989	-64.9099
Cell314	Macrophage	8923.5336	11.7775
Cell315	Macrophage	8965.0275	-57.466
Cell316	Macrophage	9256.9709	-181.9809
Cell317	Macrophage	8956.5996	-21.6019
Cell318	Macrophage	8930.8531	45.2859
Cell319	Macrophage	8892.894	-57.8505
Cell320	Macrophage	9246.6785	-173.62
Cell321	Macrophage	8755.465	435.1571
Cell322	Macrophage	8901.8848	92.1846
Cell323	Macrophage	8854.8303	69.0708
Cell324	Macrophage	9052.3931	-64.3373
Cell325	Macrophage	9074.3185	-28.3354
Cell326	Macrophage	8991.7207	-63.6932
Cell327	Macrophage	8955.1676	60.3864
Cell328	Macrophage	8939.0288	129.6185
Cell329	Macrophage	9260.913	-169.5472
Cell330	Macrophage	9080.4348	41.8543
Cell331	Macrophage	9012.0108	-65.3922
Cell332	Macrophage	8931.1261	50.462
Cell333	Macrophage	8826.5324	19.2807
Cell334	Macrophage	8953.3902	3.0173
Cell335	Macrophage	8836.5621	84.3913
Cell336	Macrophage	8873.7445	76.6529
Cell337	Macrophage	8958.7154	2.9459
Cell338	Macrophage	8881.8857	143.4003
Cell339	Macrophage	8996.0586	-66.8111
Cell340	Macrophage	9272.4426	-166.3656
Cell341	Macrophage	8639.1826	546.6391
Cell342	Macrophage	9044.8805	73.1943
Cell343	Macrophage	9085.5841	-93.9414
Cell344	Macrophage	8954.404	-7.335
Cell345	Macrophage	8955.2505	-31.2873
Cell346	Macrophage	9274.8697	-186.2095
Cell347	Macrophage	9013.8048	-132.0862
Cell348	Macrophage	8903.5687	46.8616
Cell349	Macrophage	8965.6043	-32.8548
Cell350	Macrophage	8988.9066	-150.2299
Cell351	Macrophage	9129.3055	-67.1056
Cell352	Macrophage	8910.5082	75.0634
Cell353	Macrophage	8966.4348	-44.5411
Cell354	Macrophage	9023.451	99.4653
Cell355	Macrophage	8995.2442	-109.9878
Cell356	Macrophage	8947.998	-5.1351
Cell357	Macrophage	8832.2964	40.295
Cell358	Macrophage	8994.9092	-28.3978
Cell359	Macrophage	8946.8781	36.9072
Cell360	Macrophage	8949.2054	-53.2197
Cell361	Macrophage	9203.4598	-113.7539
Cell362	Macrophage	9053.9458	-77.7513
Cell363	Macrophage	8842.2335	-4.1478
Cell364	Macrophage	8909.9827	-0.0037
Cell365	Macrophage	8855.5226	65.4744
Cell366	Macrophage	9259.5216	-151.5724
Cell367	Macrophage	8562.2863	674.8217
Cell368	Macrophage	8991.5195	-4.1116
Cell369	Macrophage	8950.1308	96.136
Cell370	Macrophage	8983.7948	-11.1468
Cell371	Macrophage	9286.5059	-189.0361
Cell372	Macrophage	8921.7556	-43.3477
Cell373	Macrophage	8918.8514	-17.6348
Cell374	Macrophage	8979.9099	-41.7625
Cell375	Macrophage	8955.2079	-14.8995
Cell376	Macrophage	9028.0726	-108.8973
Cell377	Others	8814.8385	52.5745
Cell378	Others	8833.4298	158.3944
Cell379	Others	8942.4815	-122.3372
Cell380	Others	8932.4121	156.474
Cell381	Others	8978.2152	-138.7777
Cell382	Others	9140.2883	-85.7083
Cell383	Others	8885.7164	10.8286
Cell384	Others	8981.8539	32.9445
Cell385	Others	9063.075	-23.1002
Cell386	Others	8974.19	17.4873
Cell387	Others	9150.028	-115.3012
Cell388	Others	8937.9028	-53.9313
Cell389	Others	8839.8297	209.9376
Cell390	Others	8981.9139	13.9091
Cell391	Others	8852.8866	-12.6642
Cell392	Others	9193.3193	-125.3043
Cell393	Others	8821.7228	289.7228
Cell394	Others	9032.957	-29.2057
Cell395	Others	9135.9866	-57.7789
Cell396	Others	8862.9081	74.39
Cell397	Others	8944.5532	74.6174
Cell398	Others	8984.3105	71.3471
Cell399	Others	8877.4608	-24.4068
Cell400	Others	8940.2135	67.9883
Cell401	Others	8969.5085	187.9028
Cell402	Others	8996.913	13.8254
Cell403	Others	8861.1837	182.2051
Cell404	Others	8897.6709	9.4281
Cell405	Others	8892.6291	1.517
Cell406	Others	8911.4127	-50.9952
Cell407	Others	9081.4858	-72.155
Cell408	Others	8945.0921	-165.7267
Cell409	Others	8923.1138	27.973
Cell410	Others	9017.6812	10.6353
Cell411	Others	8872.4983	44.3297
Cell412	Others	8924.8304	86.946
Cell413	Others	8904.8236	57.5938
Cell414	Others	8853.9653	54.5892
Cell415	Others	8918.2117	89.1305
Cell416	Others	8976.9634	-18.3048
Cell417	Others	9135.4881	-33.1545
Cell418	Others	8925.1985	-65.7477
Cell419	Others	9075.566	-106.4332
Cell420	Others	8849.1514	-61.8704
Cell421	Others	8879.2414	43.0607
Cell422	Others	8918.3646	-33.4564
Cell423	Others	9032.4497	76.1753
Cell424	Others	8989.1627	40.5161
Cell425	Others	8891.7746	-33.9881
Cell426	Others	8954.2815	-75.1979
Cell427	Others	8906.3982	-27.7777
Cell428	Others	9024.9212	111.5583
Cell429	Others	9238.2456	-153.7337
Cell430	Others	8962.0603	-105.6119
Cell431	Others	9163.5907	-127.8297
Cell432	Others	8824.966	-95.6853
Cell433	Others	8929.445	12.4961
Cell434	Others	9094.7012	-52.0873
Cell435	Others	8929.3316	-60.548
Cell436	Others	8851.3489	338.4131
Cell437	Others	9046.1643	79.8287
Cell438	Others	8708.6506	495.9969
Cell439	Others	8854.897	107.1772
Cell440	Others	8876.5074	39.5704
Cell441	Others	8920.0701	-107.1642
Cell442	Others	8959.7768	-57.7539
Cell443	Others	8880.7967	33.4409
Cell444	Others	8862.5482	308.1191
Cell445	Others	9281.6193	-189.4856
Cell446	Others	9051.6769	-43.3943
Cell447	Others	8845.8447	189.4608
Cell448	Others	9165.903	-45.2057
Cell449	Others	9212.4895	-98.7464
Cell450	Others	8846.3929	246.2971
Cell451	Others	9011.3368	114.1987
Cell452	Others	9031.3799	40.7213
Cell453	Others	8930.9478	92.4649
Cell454	Others	8926.1641	245.8041
Cell455	Others	8864.9921	-17.3349
Cell456	Others	8942.7344	37.1383
Cell457	Others	8908.2715	-87.6526
Cell458	Others	9276.6368	-186.9925
Cell459	Others	9165.2086	-79.5591
Cell460	Others	8938.9454	124.0762
Cell461	Others	9059.5685	47.6715
Cell462	Others	8882.4411	-41.2443
Cell463	Others	9010.3889	-55.0584
Cell464	Others	8846.4064	18.2693
Cell465	Others	8871.1893	-31.4065
Cell466	Others	8976.4337	3.9616
Cell467	Others	8920.4201	12.1043
Cell468	Others	8845.6683	130.6921
Cell469	Others	8886.6213	98.4654
Cell470	Others	8863.9281	-0.9797
Cell471	Others	9066.4372	-23.7587
Cell472	Others	8947.4282	-16.7511
Cell473	Others	8809.0571	-96.0273
Cell474	Others	8889.8918	48.5454
Cell475	Others	9124.2552	-9.1972
Cell476	Others	8958.1371	-165.9442
Cell477	Others	9044.1508	65.6278
Cell478	Others	8845.1007	90.5601
Cell479	Others	8992.7798	-9.9992
Cell480	Others	8964.5449	-82.2379
Cell481	Others	8927.0284	-61.5374
Cell482	Others	8862.6049	172.434
Cell483	Others	8894.057	16.2546
Cell484	Others	8937.9005	-25.7863
Cell485	Others	8912.1512	98.5141
Cell486	Others	8839.1544	38.3912
Cell487	Others	9047.1682	-100.936
Cell488	Others	8995.4497	2.4385
Cell489	Others	9119.0684	-115.3039
Cell490	Others	9018.118	-8.4044
Cell491	Others	9144.2986	-79.6569
Cell492	Others	8905.7982	-43.8532
Cell493	Others	8928.4836	195.9489
Cell494	Others	8964.0969	70.788
Cell495	Others	9097.9825	-78.339
Cell496	Others	8914.5807	-128.4524
Cell497	Others	8892.0583	78.5758
Cell498	Others	9158.6695	-109.2674
Cell499	Others	8940.9778	1.0262
Cell500	Others	8913.1516	35.2682
Cell501	Others	8989.9459	27.7818
Cell502	Others	9034.4557	-77.0578
Cell503	Others	9111.3473	-22.2824
Cell504	Others	8923.1721	-51.353
Cell505	Others	9204.8955	-113.2179
Cell506	Others	8932.991	90.478
Cell507	Others	8946.7467	92.2329
Cell508	Others	8995.8363	-108.9886
Cell509	Others	8799.0503	39.8707
Cell510	Others	8935.8045	-56.6075
Cell511	Others	8965.2371	9.1404
Cell512	Others	9099.6999	-19.9264
Cell513	Others	8912.1509	-28.13
Cell514	Others	9067.4635	-4.2661
Cell515	Others	8783.6155	413.2817
Cell516	Others	8899.6344	-72.7701
Cell517	Others	9019.6583	-7.602
Cell518	Others	9113.6114	-98.2055
Cell519	Others	8798.3525	-5.1241
Cell520	Others	8976.9814	-33.7986
Cell521	Others	8889.6165	254.4933
Cell522	Others	9038.3825	-60.9053
Cell523	Others	9213.0662	-123.8403
Cell524	Others	8849.7802	238.3118
Cell525	Others	9012.1158	-59.7052
Cell526	Others	8890.9859	159.9362
Cell527	Others	8917.1786	201.1842
Cell528	Others	9087.2249	-143.1112
Cell529	Others	8824.3128	292.1243
Cell530	Others	9000.0309	145.8056
Cell531	Others	9257.9828	-149.4557
Cell532	Others	8973.3705	98.1631
Cell533	Others	8872.1499	-38.9625
Cell534	Others	8916.6771	159.8843
Cell535	Others	9068.992	25.1744
Cell536	Others	9031.0888	-94.4202
Cell537	Others	8898.0952	9.4971
Cell538	Others	8851.4589	153.2041
Cell539	Others	8847.2354	36.2158
Cell540	Others	8929.2027	124.4062
Cell541	Others	9068.5138	-2.3399
Cell542	Others	9059.1891	81.3599
Cell543	Others	9111.1699	-10.6425
Cell544	Others	9189.5013	-103.6573
Cell545	Others	8874.7968	14.5477
Cell546	Others	8895.1897	167.128
Cell547	Others	8927.9231	-39.4843
Cell548	Others	8932.8745	120.0494
Cell549	Others	9071.1882	70.7755
Cell550	Others	8975.5821	-68.4037
Cell551	Others	8824.0761	-28.9608
Cell552	Others	9290.0765	-187.1858
Cell553	Others	8983.2681	-36.2113
Cell554	Others	8910.7032	-2.0965
Cell555	Others	9058.4811	-22.5576
Cell556	Others	8970.6767	127.8212
Cell557	Others	9021.1652	-88.6236
Cell558	Others	8889.8269	40.181
Cell559	Others	8965.8227	-34.0415
Cell560	Others	9165.1564	-57.2036
Cell561	Others	8942.772	22.4522
Cell562	Others	9088.6975	53.1099
Cell563	Others	8879.9836	87.8399
Cell564	Others	9258.1316	-178.0752
Cell565	Others	8855.9704	96.4547
Cell566	Others	8911.3226	-18.5257
Cell567	Others	8932.9151	53.5453
Cell568	Others	8686.868	462.0404
Cell569	Others	8808.0746	373.4344
Cell570	Others	9017.2724	-38.2961
Cell571	Others	9037.9823	-90.6215
Cell572	Others	9121.6497	-45.5247
Cell573	Others	9017.775	27.7237
Cell574	Others	9025.27	21.9848
Cell575	Others	8885.0699	71.4519
Cell576	Others	8947.6248	-15.7968
Cell577	Others	8911.1357	182.6029
Cell578	Others	8912.2473	-69.2904
Cell579	Others	8697.2811	516.8883
Cell580	Others	8793.7943	46.6194
Cell581	Others	8969.3504	-26.5711
Cell582	Others	8874.9077	37.2865
Cell583	Others	9199.3661	-89.4012
Cell584	Others	8892.3709	180.9574
Cell585	Others	8919.1297	-57.9719
Cell586	Others	8928.4703	26.8915
Cell587	Others	9095.894	-35.6157
Cell588	Others	8877.1921	159.4331
Cell589	Others	8897.3374	95.9134
Cell590	Others	8899.8063	41.5966
Cell591	Others	8886.1255	-110.9666
Cell592	Others	8922.4897	-95.3677
Cell593	Others	8996.4203	-63.8519
Cell594	Others	8914.8005	-14.2501
Cell595	Others	8898.0765	124.0192
Cell596	Others	9084.0316	1.0697
Cell597	Others	8890.8	91.6416
Cell598	Others	8860.183	24.3187
Cell599	Others	9028.563	51.0075
Cell600	Others	9056.7502	33.0278
Cell601	Others	8862.7575	129.2089
Cell602	Others	8844.4425	9.1568
Cell603	Others	8959.6733	206.2605
Cell604	Others	8786.7563	215.7858
Cell605	Others	9001.3296	59.9469
Cell606	Others	9032.1917	-37.38
Cell607	Others	8964.9336	-40.7032
Cell608	Others	9012.2047	39.562
Cell609	Others	8849.5954	-96.4418
Cell610	Others	8991.4796	15.1246
Cell611	Others	9028.6068	117.3252
Cell612	Others	9130.9688	-73.0209
Cell613	Others	8925.5128	173.215
Cell614	Others	9094.6475	-3.7353
Cell615	Others	9182.6505	-96.0081
Cell616	Others	8847.6864	0.7993
Cell617	Others	8896.8053	214.4959
Cell618	Others	9046.166	61.7085
Cell619	Others	8953.8626	-119.2772
Cell620	Others	8902.7753	182.0392
Cell621	Others	9080.0371	-7.1305
Cell622	Others	9023.7944	119.2379
Cell623	Others	8867.9188	53.5981
Cell624	Others	8932.1405	43.6627
Cell625	Others	8966.6385	-5.6316
Cell626	Others	8972.0324	53.4238
Cell627	Others	8893.6066	-111.1475
Cell628	Others	9060.7721	38.6844
Cell629	Others	9262.0755	-157.5309
Cell630	Others	8975.4698	29.8552
Cell631	Others	8881.8478	-36.0901
Cell632	Others	9083.1912	40.4381
Cell633	Others	8875.4911	71.0185
Cell634	Others	9069.1475	-86.2535
Cell635	Others	9007.6061	109.0421
Cell636	Others	8919.3307	74.8828
Cell637	Others	9023.7737	-61.1615
Cell638	Others	8869.1761	-25.5646
Cell639	Others	8989.8725	54.5506
Cell640	Others	8875.8257	-12.2493
Cell641	Others	9210.288	-112.3843
Cell642	Others	8910.2875	167.6013
Cell643	Others	8908.6251	135.9739
Cell644	Others	8924.0165	-103.8535
Cell645	Others	8862.328	107.9396
Cell646	Others	8926.5701	69.2346
Cell647	Others	8922.5117	-18.4716
Cell648	Others	8879.3879	-155.1544
Cell649	Others	8841.4127	-55.5355
Cell650	Others	9014.1689	133.6411
Cell651	Others	8896.9414	-23.569
Cell652	Others	8987.4441	41.8999
Cell653	Others	8917.3326	234.3578
Cell654	Others	8992.9012	66.3544
Cell655	Others	9283.8931	-186.9998
Cell656	Others	8867.8954	306.3313
Cell657	Others	8968.2171	-32.1676
Cell658	Others	8990.8737	48.644
Cell659	Others	9250.6936	-173.2401
Cell660	Others	8835.449	166.6147
Cell661	Others	9276.0246	-183.8709
