Cell	annotation	x.loc	y.loc	region
Cell74	Endothelial	0.0011	0.1226	1
Cell75	Epithelial	0.0439	0.8328	1
Cell76	Epithelial	0.1309	0.9232	1
Cell77	Fibroblast	0.0627	0.28	1
Cell78	Immune	0.1053	0.4276	1
Cell79	Endothelial	0.0441	0.544	1
Cell80	Adipocyte	0.139	0.5211	1
Cell81	Epithelial	0.33	0.4086	1
Cell82	Epithelial	0.6894	0.8288	1
Cell83	Epithelial	0.1616	0.8953	1
Cell84	Endothelial	0.2633	0.9095	1
Cell85	Epithelial	0.202	0.455	1
Cell86	Immune	0.4252	0.5581	1
Cell87	Endothelial	0.1073	0.11	1
Cell88	Epithelial	0.1882	0.3285	1
Cell89	Endothelial	0.1152	0.2238	1
Cell90	Endothelial	0.1054	0.157	1
Cell91	Adipocyte	0.3338	0.8688	1
Cell92	Adipocyte	0.674	0.867	1
Cell93	Fibroblast	0.7433	0.9035	1
Cell94	Endothelial	0.1183	0.0716	1
Cell95	Epithelial	0.2088	0.3575	1
Cell96	Endothelial	0.1989	0.6312	1
Cell97	Immune	0.0951	0.1823	1
Cell98	Adipocyte	0.5304	0.9889	1
Cell99	Epithelial	0.323	0.3984	1
Cell100	Epithelial	0.0269	0.8907	1
Cell101	Fibroblast	0.1954	0.3456	1
Cell102	Endothelial	0.1423	0.7726	1
Cell103	Epithelial	0.0583	0.9835	1
Cell104	Muscle	0.1657	0.8648	1
Cell105	Epithelial	0.8491	0.9813	1
Cell106	Epithelial	0.1243	0.6864	1
Cell107	Endothelial	0.1375	0.954	1
Cell108	Adipocyte	0.0308	0.7452	1
Cell109	Epithelial	0.1795	0.6763	1
Cell110	Epithelial	0.0927	0.6376	1
Cell111	Epithelial	0.4731	0.8062	1
Cell112	Endothelial	0.3636	0.6741	1
Cell113	Adipocyte	0.1973	0.886	1
Cell114	Epithelial	0.0015	0.4041	1
Cell115	Adipocyte	0.0044	0.9242	1
Cell116	Adipocyte	0.7491	0.8757	1
Cell117	Endothelial	0.383	0.7353	1
Cell118	Fibroblast	0.0563	0.2124	1
Cell119	Epithelial	0.4357	0.5167	1
Cell120	Endothelial	0.2039	0.7854	1
Cell121	Adipocyte	0.2891	0.4193	1
Cell122	Adipocyte	0.1289	0.8915	1
Cell123	Adipocyte	0.0612	0.039	1
Cell124	Immune	0.6767	0.7801	1
Cell125	Endothelial	0.4574	0.6426	1
Cell126	Adipocyte	0.8409	0.9806	1
Cell127	Adipocyte	0.143	0.5005	1
Cell128	Epithelial	0.0591	0.11	1
Cell129	Epithelial	0.2941	0.2134	1
Cell130	Adipocyte	0.2885	0.6213	1
Cell131	Epithelial	0.0948	0.5361	1
Cell132	Epithelial	0.0458	0.8488	1
Cell133	Epithelial	0.1929	0.2883	1
Cell134	Epithelial	0.0055	0.0334	1
Cell135	Adipocyte	0.3244	0.9238	1
Cell136	Epithelial	0.3183	0.9902	1
Cell137	Fibroblast	0.2604	0.4858	1
Cell138	Adipocyte	0.1323	0.1844	1
Cell139	Endothelial	0.8242	0.9775	1
Cell140	Adipocyte	0.2873	0.1866	1
Cell141	Immune	0.0608	0.815	1
Cell142	Adipocyte	0.261	0.631	1
Cell143	Endothelial	0.1721	0.1007	1
Cell144	Endothelial	0.5078	0.9295	1
Cell145	Immune	0.6104	0.7354	1
Cell146	Adipocyte	0.2028	0.7261	1
Cell147	Endothelial	0.2279	0.5331	1
Cell148	Immune	0.3263	0.1679	1
Cell149	Adipocyte	0.0381	0.8307	1
Cell150	Epithelial	0.3961	0.5419	1
Cell151	Fibroblast	0.0967	0.7019	1
Cell152	Epithelial	0.2527	0.8061	1
Cell153	Epithelial	0.0766	0.6675	1
Cell154	Epithelial	0.0144	0.2149	1
Cell155	Adipocyte	0.3175	0.2335	1
Cell156	Fibroblast	0.0788	0.3098	1
Cell157	Endothelial	0.0248	0.976	1
Cell158	Adipocyte	0.545	0.6964	1
Cell159	Epithelial	0.4617	0.6671	1
Cell160	Endothelial	0.6382	0.9574	1
Cell161	Epithelial	0.0358	0.1957	1
Cell162	Epithelial	0.5414	0.982	1
Cell163	Epithelial	0.0935	0.4229	1
Cell164	Fibroblast	0.3987	0.8038	1
Cell165	Epithelial	0.4828	0.6597	1
Cell166	Adipocyte	0.0424	0.2659	1
Cell167	Adipocyte	0.4842	0.6697	1
Cell168	Epithelial	0.2904	0.3627	1
Cell169	Fibroblast	0.1058	0.5143	1
Cell170	Fibroblast	0.47	0.5713	1
Cell171	Epithelial	0.3554	0.611	1
Cell172	Adipocyte	0.4819	0.59	1
Cell173	Endothelial	0.0935	0.9018	1
Cell174	Fibroblast	0.3434	0.3511	1
Cell175	Epithelial	0.3962	0.634	1
Cell176	Fibroblast	0.229	0.7092	1
Cell177	Adipocyte	0.2272	0.2093	1
Cell178	Epithelial	0.8154	0.9299	1
Cell179	Adipocyte	0.4629	0.858	1
Cell180	Epithelial	0.538	0.7704	1
Cell181	Endothelial	0.1188	0.3987	1
Cell182	Epithelial	0.5573	0.9089	1
Cell183	Fibroblast	0.5501	0.9151	1
Cell184	Adipocyte	0.5743	0.7633	1
Cell185	Epithelial	0.1116	0.6922	1
Cell186	Epithelial	0.1382	0.9745	1
Cell187	Epithelial	0.5118	0.6853	1
Cell188	Epithelial	0.1494	0.8378	1
Cell189	Fibroblast	0.1498	0.468	1
Cell190	Epithelial	0.1203	0.512	1
Cell191	Epithelial	0.0753	0.3681	1
Cell192	Fibroblast	0.5538	0.9819	1
Cell193	Adipocyte	0.1184	0.1699	1
Cell194	Fibroblast	0.6245	0.8168	1
Cell195	Epithelial	0.3979	0.5951	1
Cell196	Endothelial	0.041	0.6223	1
Cell197	Fibroblast	0.4991	0.5761	1
Cell198	Adipocyte	0.0235	0.123	1
Cell199	Epithelial	0.0529	0.9358	1
Cell200	Adipocyte	0.312	0.6921	1
Cell201	Adipocyte	0.1913	0.9263	1
Cell202	Adipocyte	0.2776	0.4693	1
Cell203	Epithelial	0.0313	0.3519	1
Cell204	Fibroblast	0.2816	0.983	1
Cell205	Endothelial	0.3361	0.3789	1
Cell206	Epithelial	0.015	0.3647	1
Cell207	Immune	0.026	0.1685	1
Cell208	Adipocyte	0.21	0.7314	1
Cell209	Fibroblast	0.0773	0.2308	1
Cell210	Adipocyte	0.054	0.1989	1
Cell211	Endothelial	0.3627	0.9556	1
Cell212	Adipocyte	0.6783	0.9634	1
Cell213	Epithelial	0.0498	0.3975	1
Cell214	Epithelial	0.3698	0.8521	1
Cell215	Endothelial	0.3812	0.8906	1
Cell216	Fibroblast	0.4787	0.9017	1
Cell217	Adipocyte	0.0861	0.5349	1
Cell218	Adipocyte	0.0103	0.0864	1
Cell219	Fibroblast	0.3406	0.5261	1
Cell220	Epithelial	0.132	0.7017	1
Cell221	Epithelial	0.0511	0.1436	1
Cell222	Adipocyte	0.6226	0.835	1
Cell223	Epithelial	0.1938	0.1591	1
Cell224	Adipocyte	0.2717	0.7282	1
Cell225	Endothelial	0.192	0.378	1
Cell226	Epithelial	0.0906	0.9944	1
Cell227	Endothelial	0.7798	0.9721	1
Cell228	Adipocyte	0.0502	0.0284	1
Cell229	Immune	0.1298	0.6978	1
Cell230	Epithelial	0.3454	0.6304	1
Cell231	Adipocyte	0.5083	0.7157	1
Cell232	Epithelial	0.2902	0.4567	1
Cell233	Adipocyte	0.2382	0.5233	1
Cell234	Epithelial	0.2982	0.6218	1
Cell235	Adipocyte	0.2283	0.4211	1
Cell236	Adipocyte	0.1811	0.7926	1
Cell237	Epithelial	0.6012	0.9358	1
Cell238	Epithelial	0.2144	0.7938	1
Cell239	Epithelial	0.6479	0.6584	1
Cell240	Fibroblast	0.111	0.7553	1
Cell241	Fibroblast	0.2775	0.1201	1
Cell242	Adipocyte	0.0461	0.5347	1
Cell243	Adipocyte	0.1895	0.2416	1
Cell244	Epithelial	0.0195	0.0941	1
Cell245	Epithelial	0.357	0.4555	1
Cell246	Immune	0.3189	0.6562	1
Cell247	Adipocyte	0.1091	0.5204	1
Cell248	Epithelial	0.4976	0.7734	1
Cell249	Endothelial	0.157	0.6385	1
Cell250	Epithelial	0.3448	0.4504	1
Cell251	Immune	0.8101	0.9741	1
Cell252	Fibroblast	0.0759	0.0952	1
Cell253	Fibroblast	0.772	0.9767	1
Cell254	Adipocyte	0.4004	0.4785	1
Cell255	Epithelial	0.3337	0.5421	1
Cell256	Adipocyte	0.5395	0.898	1
Cell257	Epithelial	0.2434	0.3564	1
Cell258	Epithelial	0.0852	0.3833	1
Cell259	Adipocyte	0.6425	0.9111	1
Cell260	Endothelial	0.1751	0.2959	1
Cell261	Adipocyte	0.055	0.8115	1
Cell262	Fibroblast	0.5378	0.6788	1
Cell263	Epithelial	0.3329	0.6569	1
Cell264	Epithelial	0.0386	0.9852	1
Cell265	Fibroblast	0.6688	0.9334	1
Cell266	Adipocyte	0.3209	0.5343	1
Cell267	Adipocyte	0.837	0.9016	1
Cell268	Fibroblast	0.3198	0.5459	1
Cell269	Fibroblast	0.1193	0.4426	1
Cell270	Adipocyte	0.4172	0.501	1
Cell271	Epithelial	0.1319	0.6322	1
Cell272	Epithelial	0.0565	0.1506	1
Cell273	Adipocyte	0.1869	0.7704	1
Cell274	Epithelial	0.769	0.9845	1
Cell275	Epithelial	0.0752	0.2069	1
Cell276	Epithelial	0.1105	0.5752	1
Cell277	Muscle	0.5636	0.939	1
Cell278	Epithelial	0.0582	0.3569	1
Cell279	Epithelial	0.1343	0.733	1
Cell280	Epithelial	0.0089	0.0042	1
Cell281	Fibroblast	0.0476	0.4091	1
Cell282	Fibroblast	0.2648	0.96	1
Cell283	Epithelial	0.3888	0.4724	1
Cell284	Epithelial	0.1345	0.8434	1
Cell285	Fibroblast	0.5877	0.9039	1
Cell286	Endothelial	0.2637	0.7144	1
Cell287	Fibroblast	0.2555	0.1359	1
Cell288	Adipocyte	0.4659	0.7244	1
Cell289	Adipocyte	0.6708	0.8798	1
Cell290	Adipocyte	0.4755	0.7467	1
Cell291	Epithelial	0.1155	0.4386	1
Cell292	Endothelial	0.5151	0.9736	1
Cell293	Fibroblast	0.36870000000000003	0.3947	1
Cell294	Fibroblast	0.3357	0.3266	1
Cell295	Endothelial	0.6007	0.8179	1
Cell296	Fibroblast	0.0461	0.752	1
Cell297	Adipocyte	0.6732	0.7753	1
Cell298	Epithelial	0.1916	0.2631	1
Cell299	Adipocyte	0.0389	0.8154	1
Cell300	Endothelial	0.0208	0.8966	1
Cell301	Epithelial	0.3317	0.7144	1
Cell302	Fibroblast	0.1871	0.4503	1
Cell303	Epithelial	0.4781	0.5133	1
Cell304	Adipocyte	0.6648	0.9547	1
Cell305	Epithelial	0.3263	0.2536	1
Cell306	Fibroblast	0.0653	0.3086	1
Cell307	Adipocyte	0.1121	0.8863	1
Cell308	Muscle	0.2349	0.3797	1
Cell309	Endothelial	0.1147	0.8864	1
Cell310	Endothelial	0.6603	0.9532	1
Cell311	Endothelial	0.1856	0.2379	1
Cell312	Adipocyte	0.0452	0.2626	1
Cell313	Adipocyte	0.2608	0.2038	1
Cell314	Epithelial	0.1461	0.0853	1
Cell315	Endothelial	0.192	0.2273	1
Cell316	Endothelial	0.481	0.9278	1
Cell317	Endothelial	0.024	0.203	1
Cell318	Epithelial	0.4475	0.6118	1
Cell319	Epithelial	0.5478	0.7706	1
Cell320	Epithelial	0.4436	0.699	1
Cell321	Adipocyte	0.2304	0.1503	1
Cell322	Fibroblast	0.7659	0.9757	1
Cell323	Epithelial	0.5156	0.9903	1
Cell324	Adipocyte	0.437	0.8087	1
Cell325	Epithelial	0.6181	0.9367	1
Cell326	Adipocyte	0.5856	0.8637	1
Cell327	Epithelial	0.1434	0.6694	1
Cell328	Epithelial	0.4087	0.5996	1
Cell329	Endothelial	0.219	0.6585	1
Cell330	Epithelial	0.612	0.7041	1
Cell331	Fibroblast	0.4549	0.6527	1
Cell332	Epithelial	0.1889	0.2776	1
Cell333	Adipocyte	0.1132	0.9781	1
Cell334	Epithelial	0.2703	0.5381	1
Cell335	Epithelial	0.3831	0.6338	1
Cell336	Adipocyte	0.0565	0.3956	1
Cell337	Adipocyte	0.3668	0.7525	1
Cell338	Epithelial	0.5654	0.942	1
Cell339	Adipocyte	0.0301	0.966	1
Cell340	Endothelial	0.0772	0.3952	1
Cell341	Adipocyte	0.0661	0.3534	1
Cell342	Adipocyte	0.2272	0.4068	1
Cell343	Epithelial	0.2077	0.235	1
Cell344	Epithelial	0.1138	0.0134	1
Cell345	Epithelial	0.0598	0.5181	1
Cell346	Adipocyte	0.6754	0.9548	1
Cell347	Endothelial	0.2423	0.9992	1
Cell348	Epithelial	0.0306	0.0206	1
Cell349	Fibroblast	0.4413	0.6352	1
Cell350	Epithelial	0.2177	0.6451	1
Cell351	Epithelial	0.4208	0.5471	1
Cell352	Epithelial	0.1117	0.9362	1
Cell353	Fibroblast	0.2155	0.6695	1
Cell354	Fibroblast	0.5565	0.9436	1
Cell355	Adipocyte	0.0094	0.3889	1
Cell356	Fibroblast	0.2377	0.2806	1
Cell357	Epithelial	0.5634	0.8213	1
Cell358	Epithelial	0.4827	0.8819	1
Cell359	Epithelial	0.272	0.7274	1
Cell360	Epithelial	0.026	0.6095	1
Cell361	Adipocyte	0.1838	0.5807	1
Cell362	Endothelial	0.206	0.6719	1
Cell363	Epithelial	0.3626	0.6921	1
Cell364	Adipocyte	0.2367	0.8535	1
Cell365	Muscle	0.098	0.4639	1
Cell366	Epithelial	0.1896	0.5382	1
Cell367	Epithelial	0.2363	0.6538	1
Cell368	Adipocyte	0.1177	0.6875	1
Cell369	Adipocyte	0.3192	0.1694	1
Cell370	Immune	0.3427	0.7518	1
Cell371	Fibroblast	0.6116	0.7781	1
Cell372	Epithelial	0.2361	0.5907	1
Cell373	Endothelial	0.0479	0.1192	1
Cell374	Epithelial	0.1107	0.9379	1
Cell375	Epithelial	0.624	0.899	1
Cell376	Epithelial	0.2851	0.8495	1
Cell377	Fibroblast	0.2355	0.609	1
Cell378	Epithelial	0.4492	0.6748	1
Cell379	Adipocyte	0.1939	0.1664	1
Cell380	Fibroblast	0.6653	0.808	1
Cell381	Epithelial	0.5941	0.7835	1
Cell382	Adipocyte	0.7859	0.9325	1
Cell383	Fibroblast	0.1212	0.5013	1
Cell384	Endothelial	0.5873	0.736	1
Cell385	Endothelial	0.2835	0.6585	1
Cell386	Immune	0.3709	0.7939	1
Cell387	Immune	0.0973	0.1184	1
Cell388	Epithelial	0.5217	0.8878	1
Cell389	Adipocyte	0.2475	0.884	1
Cell390	Muscle	0.4999	0.9488	1
Cell391	Endothelial	0.2181	0.2957	1
Cell392	Adipocyte	0.2157	0.1934	1
Cell393	Adipocyte	0.4896	0.8557	1
Cell394	Fibroblast	0.1311	0.4097	1
Cell395	Fibroblast	0.0545	0.2343	1
Cell396	Fibroblast	0.3344	0.7796	1
Cell397	Immune	0.4228	0.6502	1
Cell398	Fibroblast	0.6669	0.8018	1
Cell399	Fibroblast	0.0199	0.8279	1
Cell400	Adipocyte	0.1002	0.024	1
Cell401	Fibroblast	0.0666	0.8622	1
Cell402	Adipocyte	0.2223	0.6812	1
Cell403	Epithelial	0.3221	0.8627	1
Cell404	Adipocyte	0.4651	0.6827	1
Cell405	Fibroblast	0.4736	0.8468	1
Cell406	Epithelial	0.2726	0.1054	1
Cell407	Adipocyte	0.3988	0.4286	1
Cell408	Adipocyte	0.1303	0.5306	1
Cell409	Epithelial	0.4875	0.8429	1
Cell410	Adipocyte	0.8463	0.9714	1
Cell411	Epithelial	0.4862	0.6329	1
Cell412	Epithelial	0.0519	0.4885	1
Cell413	Epithelial	0.3599	0.4778	1
Cell414	Endothelial	0.2017	0.8758	1
Cell415	Fibroblast	0.1979	0.794	1
Cell416	Endothelial	0.4447	0.5641	1
Cell417	Endothelial	0.0366	0.0849	1
Cell418	Fibroblast	0.5672	0.7785	1
Cell419	Epithelial	0.4467	0.6917	1
Cell420	Epithelial	0.1919	0.6162	1
Cell421	Endothelial	0.1923	0.8619	1
Cell422	Epithelial	0.1765	0.5246	1
Cell423	Fibroblast	0.5927	0.8878	1
Cell424	Epithelial	0.2729	0.6586	1
Cell425	Epithelial	0.2001	0.8738	1
Cell426	Epithelial	0.3417	0.8159	1
Cell427	Epithelial	0.475	0.9834	1
Cell428	Adipocyte	0.5552	0.8114	1
Cell429	Muscle	0.6285	0.9553	1
Cell430	Fibroblast	0.5453	0.923	1
Cell431	Endothelial	0.5536	0.7993	1
Cell432	Adipocyte	0.1583	0.1372	1
Cell433	Adipocyte	0.0212	0.3873	1
Cell434	Adipocyte	0.1455	0.4857	1
Cell435	Fibroblast	0.1716	0.4808	1
Cell436	Fibroblast	0.4599	0.8116	1
Cell437	Adipocyte	0.3598	0.5558	1
Cell438	Fibroblast	0.5385	0.9467	1
Cell439	Epithelial	0.1798	0.6257	1
Cell440	Epithelial	0.1366	0.9217	1
Cell441	Fibroblast	0.067	0.8295	1
Cell442	Immune	0.0797	0.3166	1
Cell443	Epithelial	0.1076	0.3128	1
Cell444	Adipocyte	0.8367	0.922	1
Cell445	Epithelial	0.1297	0.5253	1
Cell446	Adipocyte	0.0066	0.0338	1
Cell447	Epithelial	0.5496	0.6283	1
Cell448	Adipocyte	0.1607	0.2264	1
Cell449	Adipocyte	0.625	0.8231	1
Cell450	Endothelial	0.7426	0.881	1
Cell451	Fibroblast	0.0023	0.5059	1
Cell452	Epithelial	0.1961	0.7558	1
Cell453	Epithelial	0.6397	0.9752	1
Cell454	Epithelial	0.6182	0.8971	1
Cell455	Endothelial	0.0613	0.12	1
Cell456	Epithelial	0.0152	0.125	1
Cell457	Epithelial	0.8287	0.9553	1
Cell458	Fibroblast	0.1125	0.6157	1
Cell459	Epithelial	0.1299	0.5511	1
Cell460	Epithelial	0.0786	0.316	1
Cell461	Epithelial	0.4506	0.5428	1
Cell462	Immune	0.3233	0.1823	1
Cell463	Epithelial	0.0176	0.756	1
Cell464	Muscle	0.5175	0.682	1
Cell465	Adipocyte	0.1411	0.2317	1
Cell466	Epithelial	0.3353	0.8721	1
Cell467	Fibroblast	0.3154	0.8302	1
Cell468	Immune	0.333	0.8116	1
Cell469	Adipocyte	0.5962	0.8105	1
Cell470	Epithelial	0.1874	0.5179	1
Cell471	Epithelial	0.008	0.9327	1
Cell472	Epithelial	0.1005	0.6648	1
Cell473	Immune	0.4014	0.935	1
Cell474	Epithelial	0.4843	0.6422	1
Cell475	Adipocyte	0.5703	0.7162	1
Cell476	Muscle	0.0952	0.3348	1
Cell477	Adipocyte	0.3478	0.2928	1
Cell478	Epithelial	0.0619	0.6646	1
Cell479	Adipocyte	0.3916	0.7708	1
Cell480	Fibroblast	0.24	0.5783	1
Cell481	Adipocyte	0.0012	0.492	1
Cell482	Fibroblast	0.2972	0.1721	1
Cell483	Endothelial	0.4201	0.7298	1
Cell484	Muscle	0.0222	0.5338	1
Cell485	Epithelial	0.6666	0.7899	1
Cell486	Adipocyte	0.5562	0.7489	1
Cell487	Epithelial	0.2096	0.1087	1
Cell488	Epithelial	0.2927	0.2717	1
Cell489	Epithelial	0.0981	0.1502	1
Cell490	Immune	0.1048	0.6721	1
Cell491	Adipocyte	0.704	0.911	1
Cell492	Epithelial	0.1659	0.9149	1
Cell493	Fibroblast	0.3482	0.4897	1
Cell494	Fibroblast	0.0528	0.2998	1
Cell495	Immune	0.0571	0.9768	1
Cell496	Adipocyte	0.3031	0.4048	1
Cell497	Epithelial	0.4023	0.525	1
Cell498	Adipocyte	0.2123	0.8837	1
Cell499	Adipocyte	0.0016	0.0021	1
Cell500	Muscle	0.017	0.0924	1
Cell501	Adipocyte	0.435	0.9111	1
Cell502	Muscle	0.1917	0.3725	1
Cell503	Adipocyte	0.5023	0.9364	1
Cell504	Adipocyte	0.0763	0.1837	1
Cell505	Epithelial	0.4865	0.5407	1
Cell506	Adipocyte	0.207	0.1171	1
Cell507	Epithelial	0.2944	0.216	1
Cell508	Endothelial	0.0246	0.0532	1
Cell509	Endothelial	0.1656	0.947	1
Cell510	Epithelial	0.3455	0.5009	1
Cell511	Epithelial	0.331	0.5027	1
Cell512	Adipocyte	0.237	0.9563	1
Cell513	Fibroblast	0.1775	0.1855	1
Cell514	Epithelial	0.0531	0.2278	1
Cell515	Adipocyte	0.1736	0.423	1
Cell516	Epithelial	0.0334	0.8617	1
Cell517	Endothelial	0.6266	0.7162	1
Cell518	Epithelial	0.4252	0.6306	1
Cell519	Adipocyte	0.5148	0.6258	1
Cell520	Muscle	0.0789	0.0023	1
Cell521	Epithelial	0.1669	0.1554	1
Cell522	Epithelial	0.1079	0.6022	1
Cell523	Fibroblast	0.3468	0.6008	1
Cell524	Adipocyte	0.2266	0.3252	1
Cell525	Epithelial	0.465	0.5166	1
Cell526	Epithelial	0.5423	0.7086	1
Cell527	Adipocyte	0.5373	0.9083	1
Cell528	Endothelial	0.7823	0.9339	1
Cell529	Fibroblast	0.2021	0.6013	1
Cell530	Epithelial	0.1382	0.4231	1
Cell531	Endothelial	0.4331	0.6116	1
Cell532	Epithelial	0.438	0.5197	1
Cell533	Muscle	0.1783	0.5502	1
Cell534	Adipocyte	0.5627	0.8511	1
Cell535	Epithelial	0.0906	0.623	1
Cell536	Endothelial	0.1914	0.9625	1
Cell537	Epithelial	0.1598	0.9297	1
Cell538	Adipocyte	0.4049	0.6497	1
Cell539	Adipocyte	0.1123	0.9758	1
Cell540	Immune	0.2231	0.412	1
Cell541	Epithelial	0.1922	0.5788	1
Cell542	Epithelial	0.6842	0.973	1
Cell543	Adipocyte	0.1529	0.794	1
Cell544	Fibroblast	0.2782	0.7527	1
Cell545	Adipocyte	0.1814	0.8158	1
Cell546	Adipocyte	0.354	0.7467	1
Cell547	Endothelial	0.3584	0.5446	1
Cell548	Epithelial	0.293	0.7903	1
Cell549	Epithelial	0.2264	0.8993	1
Cell550	Epithelial	0.1992	0.7382	1
Cell551	Fibroblast	0.466	0.5906	1
Cell552	Epithelial	0.5237	0.8097	1
Cell553	Adipocyte	0.0545	0.6223	1
Cell554	Adipocyte	0.4414	0.9812	1
Cell555	Epithelial	0.6178	0.7915	1
Cell556	Endothelial	0.5958	0.9024	1
Cell557	Epithelial	0.2463	0.1276	1
Cell558	Fibroblast	0.1248	0.6325	1
Cell559	Endothelial	0.4325	0.9943	1
Cell560	Adipocyte	0.0745	0.3294	1
Cell561	Immune	0.2787	0.7713	1
Cell562	Fibroblast	0.0979	0.2615	1
Cell563	Epithelial	0.7945	0.9797	1
Cell564	Adipocyte	0.6082	0.8816	1
Cell565	Fibroblast	0.2682	0.6194	1
Cell566	Epithelial	0.4227	0.7862	1
Cell567	Epithelial	0.5873	0.7065	1
Cell568	Adipocyte	0.4325	0.6272	1
Cell569	Epithelial	0.2882	0.8309	1
Cell570	Adipocyte	0.6267	0.9589	1
Cell571	Immune	0.0478	0.4947	1
Cell572	Adipocyte	0.1113	0.5737	1
Cell573	Adipocyte	0.1521	0.1202	1
Cell574	Epithelial	0.0798	0.703	1
Cell575	Fibroblast	0.4418	0.5352	1
Cell576	Epithelial	0.4591	0.7473	1
Cell577	Endothelial	0.0508	0.432	1
Cell578	Epithelial	0.2548	0.8969	1
Cell579	Immune	0.5023	0.7488	1
Cell580	Adipocyte	0.7297	0.9938	1
Cell581	Fibroblast	0.5588	0.7144	1
Cell582	Epithelial	0.0091	0.6448	1
Cell583	Adipocyte	0.0148	0.9164	1
Cell584	Adipocyte	0.4681	0.5979	1
Cell585	Epithelial	0.0159	0.1274	1
Cell586	Epithelial	0.2539	0.933	1
Cell587	Adipocyte	0.2165	0.9261	1
Cell588	Epithelial	0.7013	0.8085	1
Cell589	Adipocyte	0.1058	0.2066	1
Cell590	Adipocyte	0.0413	0.7664	1
Cell591	Adipocyte	0.2297	0.1601	1
Cell592	Fibroblast	0.2426	0.4378	1
Cell593	Epithelial	0.0415	0.8276	1
Cell594	Immune	0.2683	0.7475	1
Cell595	Immune	0.2009	0.7168	1
Cell596	Fibroblast	0.1273	0.0788	1
Cell597	Epithelial	0.0558	0.6464	1
Cell598	Endothelial	0.5082	0.6075	1
Cell599	Adipocyte	0.2434	0.5677	1
Cell600	Epithelial	0.4236	0.6885	1
Cell601	Epithelial	0.4906	0.8101	1
Cell602	Epithelial	0.2398	0.8134	1
Cell603	Immune	0.2403	0.2694	1
Cell604	Epithelial	0.0414	0.1385	1
